 20 - 22;  12 - 30;  11 - 40;  11 - 37;  3 - 41;  10 - 32;  20 - 31;  12 - 39;  12 - 30;  2 - 49;  2 - 42;  1 - 41;  4 - 38;  11 - 40;  21 - 21;  2 - 42;  12 - 30;  2 - 40;  13 - 38;  1 - 47;  3 - 39;  1 - 41;  25 - 17;  1 - 45;  1 - 41;  23 - 27;  3 - 39;  0 - 42;  14 - 37;  4 - 41; 
 14 - 35;  3 - 39;  1 - 42;  1 - 50;  1 - 50;  0 - 48;  13 - 29;  0 - 50;  11 - 33;  0 - 42;  2 - 40;  2 - 44;  13 - 38;  2 - 47;  0 - 42;  4 - 43;  2 - 44;  22 - 28;  20 - 22;  11 - 37;  2 - 40;  2 - 40;  11 - 40;  1 - 49;  1 - 41;  0 - 42;  0 - 42;  15 - 27;  13 - 35;  3 - 40; 
 16 - 35;  24 - 18;  1 - 43;  1 - 48;  3 - 39;  1 - 41;  1 - 41;  11 - 40;  1 - 41;  0 - 49;  23 - 21;  3 - 47;  13 - 37;  4 - 41;  10 - 40;  1 - 50;  13 - 29;  2 - 42;  10 - 40;  12 - 32;  2 - 47;  1 - 43;  2 - 48;  23 - 19;  12 - 30;  1 - 44;  36 - 9;  3 - 39;  12 - 30;  2 - 43; 
 28 - 16;  21 - 22;  19 - 23;  33 - 18;  3 - 44;  26 - 22;  2 - 47;  22 - 20;  28 - 18;  5 - 37;  18 - 25;  6 - 36;  16 - 26;  3 - 39;  8 - 40;  27 - 21;  22 - 25;  4 - 45;  20 - 28;  25 - 17;  15 - 27;  19 - 25;  28 - 19;  16 - 27;  12 - 32;  0 - 42;  23 - 19;  21 - 27;  9 - 39;  13 - 29; 
 27 - 15;  11 - 34;  24 - 18;  40 - 5;  31 - 15;  17 - 26;  13 - 29;  27 - 16;  27 - 16;  27 - 19;  29 - 13;  16 - 33;  26 - 21;  6 - 36;  27 - 15;  38 - 9;  15 - 27;  24 - 25;  33 - 9;  34 - 14;  19 - 23;  35 - 7;  3 - 39;  15 - 28;  18 - 29;  1 - 45;  15 - 30;  15 - 31;  13 - 37;  18 - 24; 
 18 - 31;  18 - 32;  43 - 7;  14 - 28;  17 - 25;  41 - 8;  20 - 26;  37 - 6;  26 - 16;  14 - 34;  6 - 36;  22 - 28;  26 - 24;  26 - 18;  11 - 31;  21 - 22;  26 - 20;  19 - 25;  26 - 23;  18 - 24;  36 - 12;  16 - 26;  5 - 42;  6 - 36;  24 - 27;  4 - 38;  13 - 29;  3 - 40;  3 - 42;  17 - 28; 
 27 - 22;  17 - 31;  7 - 35;  12 - 34;  26 - 23;  34 - 17;  24 - 26;  22 - 27;  4 - 38;  24 - 25;  27 - 21;  13 - 36;  36 - 6;  14 - 31;  25 - 17;  16 - 33;  26 - 16;  20 - 30;  14 - 28;  27 - 17;  18 - 24;  26 - 17;  11 - 31;  24 - 18;  14 - 35;  14 - 28;  22 - 25;  20 - 30;  25 - 17;  11 - 34; 
 20 - 25;  11 - 36;  11 - 37;  26 - 23;  16 - 32;  17 - 31;  22 - 20;  10 - 32;  16 - 26;  15 - 27;  10 - 36;  16 - 28;  27 - 16;  16 - 28;  29 - 13;  19 - 25;  22 - 20;  47 - 4;  31 - 15;  14 - 37;  36 - 15;  5 - 38;  15 - 28;  11 - 34;  34 - 14;  12 - 38;  16 - 34;  37 - 8;  34 - 8;  23 - 28; 
 24 - 26;  16 - 26;  17 - 30;  26 - 24;  16 - 26;  12 - 35;  26 - 16;  36 - 6;  24 - 27;  15 - 27;  26 - 21;  47 - 2;  12 - 36;  28 - 16;  23 - 22;  20 - 26;  23 - 26;  16 - 26;  25 - 25;  27 - 15;  33 - 14;  29 - 15;  6 - 36;  16 - 34;  16 - 26;  14 - 37;  28 - 16;  27 - 15;  41 - 2;  25 - 19; 
 29 - 16;  17 - 27;  18 - 24;  13 - 31;  17 - 25;  30 - 15;  16 - 30;  26 - 16;  15 - 28;  18 - 29;  20 - 22;  17 - 26;  13 - 29;  27 - 15;  2 - 40;  28 - 18;  16 - 26;  26 - 16;  28 - 14;  28 - 19;  30 - 17;  30 - 18;  38 - 12;  11 - 36;  1 - 45;  23 - 19;  19 - 27;  30 - 16;  36 - 8;  10 - 32; 
 30 - 20;  5 - 40;  27 - 17;  11 - 37;  36 - 6;  7 - 35;  15 - 33;  37 - 5;  26 - 18;  20 - 24;  35 - 16;  18 - 26;  11 - 35;  15 - 27;  45 - 5;  21 - 23;  25 - 17;  25 - 17;  32 - 15;  26 - 16;  17 - 29;  12 - 30;  6 - 41;  15 - 27;  12 - 32;  0 - 43;  29 - 14;  11 - 32;  17 - 30;  16 - 28; 
 23 - 21;  38 - 4;  43 - 5;  27 - 23;  27 - 24;  18 - 26;  16 - 28;  25 - 25;  25 - 17;  14 - 28;  37 - 7;  9 - 39;  15 - 27;  42 - 8;  15 - 27;  15 - 33;  16 - 28;  26 - 16;  4 - 39;  17 - 25;  43 - 6;  25 - 26;  28 - 22;  16 - 28;  5 - 39;  33 - 9;  46 - 4;  11 - 39;  14 - 37;  5 - 42; 
 12 - 36;  32 - 14;  14 - 28;  4 - 38;  25 - 17;  6 - 36;  14 - 28;  8 - 36;  17 - 25;  19 - 30;  39 - 3;  26 - 19;  5 - 39;  16 - 26;  3 - 44;  36 - 7;  38 - 4;  6 - 44;  29 - 19;  15 - 27;  26 - 16;  15 - 27;  27 - 15;  28 - 20;  32 - 13;  14 - 31;  23 - 19;  31 - 16;  15 - 30;  25 - 17; 
 5 - 37;  35 - 16;  26 - 18;  45 - 1;  14 - 35;  26 - 16;  25 - 18;  27 - 24;  34 - 14;  38 - 4;  17 - 25;  35 - 14;  17 - 25;  16 - 31;  35 - 7;  38 - 4;  28 - 22;  26 - 16;  27 - 15;  20 - 22;  36 - 15;  28 - 21;  25 - 19;  27 - 18;  24 - 23;  36 - 6;  22 - 20;  3 - 39;  10 - 32;  14 - 34; 
 30 - 18;  26 - 16;  27 - 16;  37 - 5;  6 - 37;  19 - 25;  28 - 23;  11 - 38;  17 - 29;  41 - 4;  24 - 19;  22 - 20;  26 - 16;  13 - 29;  27 - 22;  21 - 26;  21 - 28;  17 - 28;  24 - 22;  12 - 38;  15 - 30;  24 - 20;  22 - 29;  16 - 27;  27 - 24;  20 - 22;  5 - 38;  15 - 28;  19 - 23;  13 - 36; 
 16 - 28;  31 - 13;  35 - 7;  28 - 14;  33 - 15;  36 - 13;  40 - 4;  26 - 16;  19 - 23;  37 - 5;  38 - 7;  33 - 16;  28 - 17;  27 - 16;  22 - 20;  26 - 16;  24 - 18;  18 - 27;  25 - 17;  28 - 14;  23 - 20;  25 - 25;  7 - 35;  2 - 47;  10 - 32;  25 - 17;  8 - 43;  4 - 46;  13 - 33;  32 - 19; 
 25 - 17;  11 - 37;  15 - 27;  19 - 23;  24 - 18;  6 - 36;  14 - 37;  17 - 25;  23 - 28;  12 - 33;  26 - 21;  16 - 26;  24 - 18;  15 - 27;  17 - 26;  27 - 22;  5 - 38;  16 - 26;  27 - 15;  21 - 25;  18 - 24;  6 - 36;  13 - 32;  18 - 24;  0 - 43;  15 - 27;  15 - 27;  16 - 29;  40 - 10;  15 - 27; 
 16 - 30;  25 - 25;  22 - 26;  28 - 16;  35 - 15;  28 - 15;  20 - 25;  26 - 16;  36 - 9;  6 - 36;  22 - 23;  18 - 24;  28 - 23;  28 - 23;  28 - 22;  4 - 41;  28 - 14;  13 - 31;  19 - 23;  19 - 29;  23 - 26;  15 - 28;  28 - 15;  1 - 41;  25 - 17;  28 - 15;  26 - 20;  27 - 23;  26 - 19;  25 - 21; 
 24 - 25;  27 - 21;  21 - 21;  26 - 24;  17 - 27;  13 - 37;  17 - 31;  16 - 28;  14 - 28;  19 - 27;  17 - 32;  31 - 18;  8 - 36;  30 - 12;  14 - 28;  35 - 7;  25 - 23;  39 - 11;  3 - 44;  16 - 27;  14 - 28;  28 - 14;  27 - 15;  3 - 39;  21 - 30;  32 - 17;  21 - 28;  15 - 27;  16 - 26;  3 - 39; 
 28 - 23;  16 - 28;  27 - 15;  30 - 15;  16 - 26;  18 - 26;  34 - 8;  23 - 19;  45 - 5;  30 - 19;  13 - 29;  17 - 29;  17 - 25;  16 - 26;  25 - 17;  7 - 35;  27 - 22;  37 - 11;  41 - 8;  18 - 31;  34 - 14;  30 - 20;  27 - 19;  4 - 38;  15 - 27;  19 - 23;  36 - 12;  6 - 36;  10 - 40;  29 - 13; 
 29 - 13;  17 - 25;  20 - 25;  15 - 27;  37 - 6;  26 - 25;  28 - 23;  20 - 23;  38 - 6;  15 - 32;  24 - 25;  29 - 16;  19 - 23;  37 - 10;  22 - 20;  23 - 23;  23 - 21;  17 - 27;  5 - 39;  4 - 46;  37 - 5;  27 - 18;  40 - 6;  26 - 17;  10 - 39;  14 - 28;  37 - 5;  23 - 25;  25 - 24;  21 - 28; 
 38 - 8;  28 - 14;  38 - 4;  15 - 28;  27 - 15;  16 - 26;  45 - 1;  29 - 21;  27 - 16;  17 - 25;  14 - 28;  18 - 31;  5 - 37;  34 - 9;  26 - 18;  15 - 27;  24 - 18;  16 - 26;  34 - 15;  24 - 27;  38 - 13;  23 - 19;  19 - 28;  34 - 11;  27 - 24;  32 - 10;  13 - 29;  13 - 33;  21 - 28;  38 - 4; 
 25 - 17;  24 - 18;  21 - 27;  16 - 26;  35 - 12;  26 - 24;  19 - 30;  16 - 30;  21 - 24;  20 - 28;  27 - 15;  26 - 23;  18 - 26;  24 - 18;  17 - 28;  24 - 18;  14 - 28;  16 - 26;  27 - 15;  45 - 5;  39 - 5;  23 - 28;  14 - 28;  5 - 44;  8 - 40;  3 - 39;  12 - 39;  17 - 27;  25 - 26;  7 - 44; 
 15 - 34;  12 - 36;  15 - 34;  18 - 26;  5 - 37;  23 - 25;  35 - 8;  45 - 0;  25 - 18;  21 - 24;  16 - 28;  27 - 15;  11 - 37;  2 - 40;  37 - 5;  19 - 30;  20 - 27;  30 - 20;  17 - 26;  18 - 31;  10 - 35;  32 - 18;  12 - 30;  35 - 7;  26 - 18;  16 - 26;  14 - 28;  11 - 31;  7 - 35;  23 - 23; 
 10 - 32;  25 - 26;  28 - 18;  17 - 26;  27 - 21;  5 - 46;  11 - 39;  25 - 19;  18 - 29;  27 - 20;  38 - 4;  12 - 30;  23 - 27;  30 - 12;  20 - 25;  27 - 15;  16 - 26;  13 - 33;  25 - 17;  38 - 4;  15 - 27;  15 - 29;  34 - 8;  28 - 14;  4 - 44;  13 - 32;  4 - 38;  31 - 11;  18 - 32;  0 - 48; 
 25 - 17;  26 - 16;  17 - 28;  28 - 16;  13 - 33;  39 - 11;  23 - 27;  14 - 29;  14 - 28;  15 - 27;  17 - 28;  13 - 29;  8 - 37;  24 - 18;  27 - 15;  27 - 16;  5 - 37;  16 - 34;  9 - 41;  18 - 24;  31 - 15;  20 - 25;  27 - 15;  27 - 22;  23 - 25;  25 - 17;  13 - 31;  11 - 31;  4 - 40;  6 - 42; 
 11 - 33;  15 - 33;  35 - 16;  14 - 29;  29 - 13;  33 - 16;  14 - 31;  36 - 6;  30 - 12;  9 - 36;  28 - 23;  28 - 14;  28 - 14;  16 - 29;  23 - 24;  17 - 34;  28 - 14;  20 - 24;  24 - 26;  16 - 27;  5 - 45;  18 - 24;  35 - 14;  31 - 17;  17 - 26;  34 - 13;  14 - 32;  19 - 23;  35 - 9;  19 - 32; 
 19 - 23;  35 - 12;  14 - 28;  28 - 17;  25 - 26;  33 - 14;  15 - 27;  8 - 35;  41 - 4;  30 - 19;  16 - 28;  38 - 8;  29 - 15;  18 - 24;  29 - 17;  18 - 27;  38 - 8;  21 - 23;  15 - 35;  39 - 3;  15 - 30;  36 - 14;  39 - 5;  17 - 27;  16 - 26;  25 - 17;  19 - 23;  24 - 18;  2 - 40;  14 - 33; 
 7 - 35;  29 - 16;  24 - 27;  37 - 5;  36 - 7;  26 - 21;  45 - 4;  15 - 33;  20 - 22;  23 - 28;  22 - 20;  34 - 8;  33 - 12;  19 - 29;  23 - 28;  24 - 27;  16 - 27;  25 - 18;  28 - 14;  22 - 22;  40 - 9;  29 - 19;  22 - 29;  24 - 18;  36 - 7;  5 - 37;  14 - 35;  27 - 15;  37 - 13;  19 - 23; 
 25 - 25;  18 - 26;  26 - 19;  45 - 4;  7 - 35;  25 - 26;  45 - 4;  19 - 27;  25 - 17;  9 - 33;  26 - 17;  2 - 43;  26 - 18;  33 - 14;  13 - 38;  7 - 41;  21 - 24;  14 - 36;  15 - 33;  9 - 38;  24 - 21;  18 - 24;  6 - 40;  15 - 30;  21 - 28;  17 - 25;  24 - 18;  11 - 31;  15 - 27;  2 - 48; 
 27 - 15;  24 - 24;  15 - 28;  25 - 17;  28 - 18;  22 - 23;  36 - 6;  27 - 15;  5 - 37;  22 - 27;  44 - 4;  17 - 27;  7 - 36;  16 - 28;  15 - 27;  16 - 34;  19 - 28;  17 - 29;  33 - 14;  30 - 21;  17 - 26;  7 - 38;  16 - 26;  29 - 18;  14 - 28;  26 - 22;  26 - 23;  13 - 33;  15 - 27;  7 - 35; 
 25 - 17;  14 - 28;  9 - 36;  20 - 26;  17 - 25;  27 - 24;  19 - 25;  24 - 25;  18 - 25;  16 - 35;  8 - 34;  28 - 20;  27 - 17;  26 - 19;  29 - 15;  24 - 24;  37 - 14;  25 - 17;  32 - 15;  33 - 16;  28 - 14;  38 - 4;  16 - 28;  13 - 29;  28 - 17;  3 - 39;  32 - 18;  22 - 24;  26 - 21;  13 - 29; 
 8 - 34;  14 - 28;  24 - 18;  3 - 46;  12 - 30;  28 - 21;  15 - 28;  19 - 29;  14 - 29;  27 - 17;  5 - 38;  25 - 19;  17 - 32;  25 - 17;  15 - 29;  18 - 24;  0 - 46;  7 - 38;  30 - 16;  20 - 28;  6 - 36;  3 - 41;  12 - 36;  14 - 30;  18 - 28;  13 - 30;  29 - 16;  15 - 29;  24 - 23;  4 - 39; 
 14 - 28;  17 - 29;  4 - 38;  28 - 16;  20 - 28;  28 - 14;  26 - 17;  44 - 7;  24 - 18;  37 - 5;  37 - 5;  30 - 17;  23 - 23;  17 - 25;  24 - 20;  13 - 32;  30 - 13;  28 - 17;  28 - 16;  7 - 36;  28 - 23;  26 - 17;  15 - 27;  20 - 23;  16 - 26;  17 - 33;  16 - 26;  14 - 35;  2 - 43;  23 - 26; 
 18 - 27;  19 - 23;  8 - 34;  27 - 15;  3 - 39;  31 - 17;  17 - 25;  25 - 17;  26 - 19;  26 - 16;  34 - 16;  40 - 3;  19 - 26;  11 - 35;  17 - 30;  39 - 3;  17 - 25;  14 - 35;  21 - 25;  16 - 32;  14 - 29;  21 - 28;  13 - 33;  25 - 20;  13 - 35;  24 - 26;  35 - 12;  13 - 30;  16 - 26;  1 - 42; 
 19 - 25;  29 - 17;  26 - 24;  18 - 33;  37 - 9;  16 - 26;  25 - 17;  11 - 32;  44 - 3;  13 - 29;  19 - 27;  28 - 20;  16 - 35;  30 - 16;  26 - 20;  24 - 26;  17 - 30;  19 - 28;  22 - 26;  13 - 34;  14 - 28;  37 - 5;  27 - 15;  2 - 40;  1 - 41;  2 - 49;  25 - 21;  26 - 16;  1 - 41;  13 - 37; 
 13 - 34;  19 - 26;  25 - 17;  31 - 14;  30 - 17;  17 - 25;  36 - 15;  26 - 19;  16 - 26;  26 - 16;  22 - 20;  15 - 36;  36 - 6;  25 - 23;  16 - 28;  16 - 26;  20 - 29;  8 - 36;  18 - 29;  25 - 20;  16 - 35;  26 - 16;  14 - 28;  2 - 44;  11 - 37;  18 - 24;  27 - 15;  17 - 25;  15 - 27;  37 - 6; 
 21 - 27;  31 - 16;  35 - 9;  27 - 19;  15 - 27;  17 - 25;  15 - 27;  28 - 14;  26 - 16;  38 - 9;  16 - 26;  5 - 37;  16 - 26;  24 - 25;  19 - 29;  37 - 5;  36 - 8;  8 - 40;  27 - 15;  17 - 29;  24 - 22;  3 - 43;  20 - 22;  18 - 31;  14 - 30;  1 - 41;  24 - 18;  13 - 29;  33 - 13;  12 - 36; 
 22 - 25;  14 - 28;  36 - 6;  16 - 30;  25 - 20;  22 - 20;  25 - 17;  34 - 8;  13 - 29;  21 - 29;  24 - 24;  29 - 15;  25 - 26;  36 - 6;  24 - 18;  3 - 48;  28 - 22;  36 - 12;  5 - 40;  25 - 21;  16 - 35;  27 - 18;  1 - 49;  18 - 29;  13 - 36;  10 - 32;  37 - 5;  25 - 19;  13 - 38;  13 - 29; 
 21 - 24;  31 - 19;  14 - 34;  30 - 12;  3 - 46;  14 - 31;  18 - 27;  22 - 27;  37 - 9;  33 - 17;  13 - 38;  33 - 17;  7 - 40;  17 - 34;  38 - 9;  24 - 18;  7 - 37;  21 - 29;  30 - 21;  16 - 35;  17 - 25;  16 - 26;  1 - 49;  2 - 47;  40 - 8;  2 - 42;  32 - 17;  18 - 26;  27 - 17;  12 - 30; 
 19 - 24;  11 - 37;  23 - 26;  16 - 34;  26 - 25;  6 - 36;  35 - 16;  17 - 25;  20 - 26;  25 - 17;  34 - 8;  19 - 27;  17 - 32;  28 - 14;  36 - 6;  14 - 35;  34 - 10;  25 - 17;  33 - 9;  17 - 25;  5 - 43;  24 - 20;  33 - 18;  14 - 28;  23 - 24;  30 - 12;  1 - 41;  36 - 13;  14 - 28;  14 - 28; 
 15 - 27;  16 - 26;  17 - 25;  12 - 33;  18 - 30;  15 - 29;  16 - 28;  19 - 23;  18 - 24;  36 - 6;  25 - 17;  28 - 23;  17 - 31;  35 - 9;  17 - 29;  6 - 36;  3 - 40;  41 - 4;  24 - 18;  26 - 17;  27 - 17;  25 - 19;  19 - 26;  27 - 15;  17 - 25;  15 - 27;  18 - 24;  20 - 31;  4 - 38;  27 - 18; 
 38 - 4;  5 - 40;  17 - 31;  37 - 5;  27 - 15;  18 - 28;  34 - 8;  28 - 14;  17 - 25;  37 - 13;  26 - 16;  7 - 37;  5 - 37;  20 - 31;  25 - 24;  36 - 6;  30 - 16;  26 - 19;  35 - 16;  13 - 29;  21 - 29;  19 - 27;  15 - 27;  24 - 27;  28 - 20;  21 - 28;  3 - 42;  35 - 7;  8 - 35;  7 - 37; 
 24 - 22;  45 - 6;  15 - 29;  17 - 30;  7 - 35;  40 - 3;  23 - 19;  28 - 14;  15 - 29;  29 - 13;  14 - 36;  8 - 35;  37 - 10;  15 - 35;  34 - 8;  15 - 27;  29 - 14;  8 - 38;  8 - 37;  16 - 32;  25 - 19;  3 - 39;  41 - 5;  35 - 15;  25 - 22;  34 - 17;  31 - 11;  22 - 23;  21 - 24;  25 - 17; 
 23 - 27;  16 - 26;  14 - 28;  26 - 16;  16 - 26;  17 - 27;  25 - 17;  30 - 12;  31 - 17;  15 - 29;  30 - 18;  25 - 19;  44 - 4;  33 - 16;  26 - 23;  17 - 26;  17 - 32;  15 - 29;  26 - 17;  28 - 16;  15 - 27;  14 - 33;  19 - 32;  24 - 18;  20 - 30;  2 - 45;  7 - 42;  20 - 28;  27 - 16;  6 - 41; 
 13 - 29;  18 - 26;  6 - 40;  34 - 8;  16 - 34;  36 - 14;  17 - 25;  4 - 43;  16 - 26;  25 - 26;  18 - 26;  16 - 26;  4 - 46;  4 - 46;  3 - 42;  24 - 26;  15 - 27;  21 - 21;  36 - 7;  25 - 26;  14 - 37;  19 - 26;  25 - 17;  11 - 39;  24 - 26;  37 - 13;  15 - 33;  29 - 13;  15 - 27;  13 - 29; 
 2 - 46;  28 - 20;  11 - 31;  21 - 26;  31 - 18;  16 - 27;  37 - 6;  10 - 32;  18 - 24;  46 - 5;  39 - 12;  27 - 19;  36 - 14;  29 - 17;  26 - 25;  28 - 18;  24 - 18;  19 - 30;  24 - 24;  14 - 37;  28 - 14;  28 - 14;  22 - 27;  24 - 26;  24 - 26;  4 - 38;  12 - 34;  11 - 34;  13 - 29;  32 - 14; 
 24 - 22;  17 - 25;  33 - 9;  21 - 27;  27 - 15;  19 - 27;  34 - 16;  6 - 44;  34 - 12;  29 - 13;  25 - 17;  26 - 16;  13 - 29;  22 - 29;  18 - 24;  38 - 4;  25 - 17;  30 - 15;  31 - 18;  30 - 17;  24 - 25;  35 - 14;  18 - 24;  4 - 39;  22 - 20;  30 - 13;  14 - 31;  11 - 38;  26 - 22;  22 - 27; 
 24 - 26;  24 - 24;  28 - 16;  19 - 30;  14 - 29;  17 - 26;  24 - 18;  23 - 19;  9 - 36;  14 - 28;  12 - 35;  14 - 28;  18 - 24;  16 - 26;  22 - 24;  29 - 22;  5 - 39;  5 - 38;  24 - 25;  3 - 47;  25 - 17;  39 - 4;  23 - 19;  2 - 40;  26 - 16;  24 - 18;  19 - 23;  14 - 28;  34 - 15;  25 - 17; 
 36 - 14;  19 - 24;  30 - 18;  37 - 5;  24 - 25;  15 - 28;  15 - 27;  47 - 1;  28 - 15;  14 - 33;  2 - 40;  26 - 18;  30 - 20;  41 - 3;  24 - 24;  3 - 41;  26 - 24;  32 - 11;  21 - 30;  16 - 29;  33 - 13;  37 - 5;  15 - 27;  25 - 17;  27 - 19;  40 - 9;  30 - 19;  3 - 39;  4 - 43;  25 - 18; 
