 1 - 43;  2 - 40;  3 - 39;  1 - 41;  10 - 40;  6 - 36;  11 - 39;  12 - 31;  3 - 41;  2 - 44;  3 - 39;  2 - 49;  13 - 35;  5 - 44;  1 - 42;  1 - 41;  14 - 30;  2 - 40;  2 - 40;  21 - 24;  12 - 30;  22 - 24;  11 - 31;  12 - 34;  10 - 39;  3 - 39;  3 - 39;  0 - 42;  3 - 39;  3 - 43; 
 1 - 47;  21 - 30;  31 - 19;  10 - 39;  6 - 36;  2 - 46;  1 - 47;  2 - 41;  0 - 48;  1 - 50;  6 - 40;  10 - 36;  0 - 51;  1 - 43;  13 - 29;  2 - 49;  4 - 45;  12 - 30;  3 - 39;  10 - 35;  1 - 47;  10 - 34;  11 - 31;  4 - 43;  3 - 42;  10 - 32;  15 - 27;  10 - 39;  15 - 27;  2 - 44; 
 4 - 44;  2 - 40;  13 - 32;  0 - 46;  0 - 42;  2 - 49;  11 - 31;  1 - 45;  1 - 41;  8 - 34;  2 - 44;  1 - 49;  12 - 30;  2 - 40;  3 - 40;  1 - 41;  4 - 45;  11 - 31;  12 - 32;  0 - 47;  10 - 33;  3 - 43;  2 - 40;  2 - 40;  11 - 37;  12 - 30;  1 - 41;  10 - 32;  23 - 19;  11 - 39; 
 3 - 39;  11 - 31;  1 - 48;  21 - 27;  10 - 34;  4 - 42;  22 - 29;  13 - 29;  4 - 46;  2 - 40;  12 - 35;  1 - 49;  3 - 39;  0 - 50;  3 - 39;  11 - 32;  7 - 42;  5 - 45;  2 - 44;  1 - 41;  1 - 48;  14 - 32;  0 - 47;  0 - 43;  1 - 41;  0 - 46;  1 - 41;  4 - 44;  5 - 40;  12 - 35; 
 5 - 44;  21 - 25;  34 - 11;  4 - 39;  22 - 30;  2 - 43;  3 - 39;  3 - 41;  10 - 41;  15 - 29;  12 - 37;  2 - 48;  2 - 44;  2 - 44;  4 - 38;  2 - 40;  1 - 41;  0 - 45;  11 - 31;  2 - 42;  2 - 44;  2 - 40;  1 - 42;  6 - 41;  1 - 41;  10 - 32;  2 - 44;  1 - 41;  5 - 44;  3 - 47; 
 3 - 45;  1 - 41;  6 - 38;  4 - 43;  21 - 21;  11 - 32;  1 - 43;  12 - 36;  2 - 40;  4 - 38;  4 - 45;  13 - 34;  2 - 43;  10 - 32;  1 - 46;  2 - 40;  2 - 40;  1 - 48;  11 - 31;  3 - 48;  3 - 46;  10 - 38;  21 - 21;  10 - 37;  1 - 49;  0 - 46;  11 - 32;  21 - 24;  15 - 30;  11 - 37; 
 1 - 41;  14 - 32;  13 - 30;  0 - 42;  13 - 29;  2 - 45;  1 - 41;  10 - 32;  10 - 40;  2 - 48;  3 - 48;  3 - 39;  12 - 37;  7 - 35;  31 - 11;  2 - 47;  1 - 41;  3 - 39;  4 - 46;  1 - 41;  13 - 38;  5 - 37;  2 - 40;  2 - 48;  2 - 42;  1 - 50;  10 - 32;  3 - 43;  2 - 40;  3 - 45; 
 3 - 41;  1 - 43;  0 - 42;  12 - 30;  2 - 40;  21 - 22;  3 - 41;  4 - 39;  2 - 43;  1 - 49;  2 - 42;  1 - 45;  0 - 43;  1 - 46;  12 - 39;  1 - 41;  14 - 33;  4 - 38;  4 - 45;  2 - 42;  20 - 30;  11 - 39;  4 - 47;  2 - 42;  2 - 49;  2 - 44;  22 - 26;  13 - 29;  12 - 35;  0 - 42; 
 21 - 30;  2 - 41;  14 - 33;  13 - 29;  2 - 48;  2 - 41;  1 - 43;  3 - 40;  0 - 50;  2 - 47;  12 - 30;  10 - 32;  13 - 29;  11 - 31;  41 - 10;  2 - 40;  16 - 26;  22 - 27;  2 - 49;  2 - 40;  3 - 39;  2 - 40;  11 - 31;  32 - 16;  0 - 42;  4 - 40;  0 - 51;  10 - 38;  2 - 45;  12 - 37; 
 2 - 49;  4 - 45;  4 - 44;  20 - 29;  1 - 49;  2 - 49;  1 - 41;  3 - 39;  11 - 40;  10 - 32;  2 - 40;  13 - 29;  23 - 19;  11 - 40;  10 - 37;  3 - 45;  15 - 30;  2 - 41;  11 - 38;  6 - 44;  11 - 40;  0 - 51;  4 - 38;  10 - 32;  22 - 23;  21 - 26;  1 - 41;  2 - 45;  21 - 25;  11 - 36; 
 1 - 41;  13 - 34;  2 - 46;  3 - 44;  12 - 30;  2 - 49;  3 - 43;  1 - 44;  0 - 51;  2 - 43;  21 - 24;  1 - 41;  1 - 48;  0 - 51;  2 - 44;  11 - 36;  11 - 40;  1 - 50;  10 - 32;  2 - 40;  11 - 31;  21 - 24;  1 - 50;  12 - 39;  4 - 46;  0 - 47;  13 - 29;  12 - 33;  1 - 50;  0 - 45; 
 1 - 41;  13 - 33;  0 - 43;  23 - 19;  13 - 32;  12 - 30;  12 - 30;  22 - 26;  1 - 41;  2 - 41;  0 - 42;  2 - 40;  1 - 42;  12 - 30;  3 - 44;  11 - 31;  3 - 39;  14 - 36;  25 - 25;  13 - 29;  10 - 34;  1 - 41;  1 - 43;  3 - 39;  11 - 39;  2 - 46;  13 - 29;  1 - 45;  1 - 41;  0 - 42; 
 14 - 34;  13 - 29;  0 - 42;  22 - 20;  3 - 44;  6 - 44;  1 - 42;  12 - 30;  2 - 40;  3 - 39;  0 - 45;  23 - 19;  0 - 47;  3 - 39;  12 - 36;  1 - 41;  1 - 41;  4 - 46;  3 - 39;  13 - 34;  5 - 42;  3 - 45;  2 - 48;  14 - 28;  4 - 43;  2 - 43;  0 - 44;  10 - 32;  12 - 30;  21 - 28; 
