 4 - 42;  12 - 38;  13 - 29;  3 - 42;  22 - 20;  11 - 31;  10 - 37;  15 - 35;  14 - 28;  3 - 40;  4 - 44;  3 - 47;  1 - 46;  0 - 51;  1 - 41;  2 - 41;  1 - 47;  4 - 42;  0 - 51;  11 - 34;  11 - 31;  10 - 36;  8 - 36;  24 - 26;  20 - 22;  27 - 15;  13 - 29;  1 - 41;  11 - 31;  12 - 38; 
 12 - 39;  2 - 40;  0 - 42;  12 - 33;  23 - 19;  2 - 40;  5 - 38;  15 - 27;  0 - 50;  12 - 30;  3 - 40;  10 - 40;  2 - 40;  4 - 38;  3 - 40;  0 - 48;  13 - 36;  4 - 38;  11 - 40;  24 - 25;  2 - 40;  1 - 43;  11 - 32;  16 - 27;  1 - 49;  13 - 29;  4 - 44;  1 - 45;  11 - 35;  3 - 39; 
 4 - 43;  12 - 36;  2 - 43;  23 - 19;  12 - 30;  3 - 40;  2 - 40;  33 - 15;  3 - 39;  3 - 42;  1 - 44;  24 - 18;  0 - 46;  14 - 36;  4 - 47;  2 - 40;  3 - 40;  2 - 42;  4 - 38;  3 - 39;  3 - 39;  11 - 32;  4 - 46;  3 - 39;  2 - 45;  1 - 48;  5 - 37;  14 - 28;  3 - 42;  3 - 47; 
 4 - 46;  0 - 42;  11 - 32;  13 - 37;  4 - 44;  2 - 41;  18 - 29;  4 - 44;  12 - 31;  6 - 39;  1 - 41;  6 - 44;  1 - 47;  5 - 42;  4 - 47;  2 - 46;  21 - 26;  13 - 38;  4 - 38;  13 - 31;  17 - 34;  2 - 40;  2 - 45;  2 - 42;  23 - 28;  3 - 39;  20 - 25;  1 - 42;  13 - 29;  12 - 34; 
 2 - 41;  12 - 36;  15 - 30;  0 - 42;  11 - 31;  14 - 31;  38 - 9;  13 - 37;  2 - 47;  12 - 30;  3 - 48;  5 - 38;  13 - 29;  4 - 38;  12 - 39;  20 - 31;  3 - 44;  13 - 29;  15 - 27;  1 - 43;  15 - 35;  2 - 40;  7 - 41;  47 - 3;  1 - 41;  20 - 22;  1 - 41;  2 - 47;  12 - 30;  11 - 31; 
 4 - 42;  23 - 19;  4 - 38;  6 - 36;  6 - 38;  20 - 22;  1 - 44;  10 - 32;  28 - 21;  3 - 48;  2 - 40;  5 - 39;  10 - 35;  17 - 33;  4 - 44;  5 - 37;  7 - 35;  21 - 30;  24 - 22;  3 - 39;  15 - 27;  0 - 47;  2 - 40;  1 - 41;  12 - 32;  17 - 25;  13 - 38;  1 - 41;  13 - 29;  6 - 36; 
 16 - 35;  20 - 22;  11 - 31;  12 - 35;  13 - 29;  32 - 14;  4 - 38;  17 - 25;  15 - 30;  2 - 40;  24 - 25;  3 - 39;  1 - 41;  2 - 41;  16 - 28;  22 - 20;  11 - 40;  18 - 24;  3 - 40;  1 - 41;  6 - 37;  5 - 37;  2 - 46;  16 - 26;  9 - 36;  28 - 19;  28 - 14;  20 - 22;  5 - 39;  15 - 27; 
 15 - 35;  35 - 7;  15 - 33;  19 - 32;  15 - 30;  15 - 27;  27 - 15;  9 - 37;  24 - 18;  30 - 17;  39 - 3;  14 - 32;  15 - 27;  16 - 26;  34 - 8;  24 - 20;  38 - 4;  13 - 29;  38 - 7;  29 - 17;  23 - 26;  23 - 27;  35 - 14;  17 - 32;  1 - 47;  1 - 44;  23 - 28;  15 - 36;  44 - 4;  1 - 44; 
 26 - 16;  22 - 24;  36 - 15;  23 - 19;  16 - 26;  27 - 15;  26 - 23;  16 - 30;  38 - 6;  26 - 24;  26 - 24;  17 - 25;  17 - 28;  12 - 30;  25 - 17;  28 - 15;  19 - 28;  10 - 36;  23 - 25;  29 - 20;  11 - 33;  35 - 14;  26 - 16;  48 - 3;  25 - 17;  20 - 27;  19 - 29;  12 - 31;  24 - 26;  35 - 10; 
 15 - 28;  20 - 22;  16 - 31;  26 - 25;  6 - 37;  17 - 28;  11 - 31;  27 - 15;  34 - 15;  31 - 20;  19 - 29;  22 - 28;  18 - 27;  15 - 36;  14 - 28;  28 - 17;  18 - 28;  40 - 6;  26 - 22;  27 - 16;  21 - 26;  6 - 36;  24 - 21;  16 - 34;  30 - 15;  8 - 34;  17 - 26;  14 - 34;  14 - 31;  39 - 3; 
 14 - 36;  24 - 18;  33 - 11;  15 - 27;  25 - 18;  37 - 5;  25 - 24;  17 - 28;  23 - 25;  17 - 28;  29 - 18;  28 - 14;  14 - 28;  4 - 41;  14 - 32;  23 - 21;  30 - 18;  5 - 44;  34 - 16;  31 - 18;  18 - 30;  25 - 17;  15 - 27;  3 - 45;  9 - 33;  23 - 19;  11 - 31;  2 - 49;  16 - 35;  23 - 27; 
 41 - 6;  24 - 18;  36 - 6;  14 - 28;  15 - 27;  13 - 29;  17 - 25;  17 - 25;  12 - 34;  18 - 28;  15 - 27;  36 - 6;  28 - 14;  29 - 13;  3 - 48;  8 - 41;  26 - 25;  27 - 15;  34 - 12;  14 - 31;  35 - 7;  18 - 33;  5 - 38;  15 - 33;  10 - 32;  24 - 18;  25 - 17;  27 - 21;  16 - 35;  16 - 26; 
 34 - 14;  20 - 26;  22 - 20;  15 - 35;  39 - 7;  15 - 27;  26 - 16;  3 - 48;  19 - 31;  37 - 5;  25 - 18;  19 - 26;  18 - 33;  17 - 25;  32 - 14;  24 - 26;  39 - 6;  29 - 21;  27 - 15;  30 - 15;  20 - 22;  39 - 6;  25 - 17;  30 - 21;  8 - 34;  23 - 19;  3 - 39;  7 - 36;  41 - 4;  10 - 34; 
 16 - 30;  15 - 27;  15 - 27;  25 - 24;  8 - 40;  30 - 19;  26 - 20;  19 - 24;  26 - 22;  17 - 25;  23 - 23;  19 - 26;  25 - 25;  30 - 13;  15 - 27;  41 - 10;  30 - 19;  26 - 22;  19 - 28;  30 - 19;  13 - 29;  26 - 17;  30 - 17;  20 - 27;  4 - 43;  1 - 41;  13 - 29;  35 - 13;  4 - 38;  12 - 31; 
 14 - 37;  15 - 36;  6 - 40;  38 - 13;  17 - 27;  28 - 15;  26 - 17;  39 - 6;  39 - 6;  9 - 35;  23 - 20;  13 - 30;  27 - 21;  30 - 12;  9 - 33;  15 - 36;  16 - 26;  13 - 33;  38 - 4;  20 - 27;  38 - 12;  38 - 4;  16 - 27;  12 - 35;  19 - 32;  5 - 40;  18 - 33;  12 - 30;  30 - 17;  38 - 4; 
 26 - 16;  15 - 35;  28 - 16;  19 - 24;  35 - 13;  19 - 23;  26 - 16;  26 - 24;  16 - 33;  37 - 6;  36 - 6;  38 - 4;  23 - 25;  41 - 4;  27 - 15;  22 - 20;  30 - 15;  8 - 36;  20 - 28;  27 - 15;  14 - 28;  35 - 12;  26 - 20;  11 - 35;  26 - 16;  17 - 27;  24 - 18;  6 - 45;  28 - 14;  5 - 42; 
 28 - 14;  18 - 26;  26 - 16;  31 - 17;  33 - 9;  13 - 29;  18 - 32;  26 - 16;  38 - 4;  28 - 15;  36 - 6;  26 - 18;  20 - 23;  15 - 33;  39 - 9;  30 - 21;  25 - 23;  31 - 15;  28 - 15;  14 - 36;  35 - 9;  5 - 37;  12 - 30;  20 - 27;  36 - 6;  24 - 18;  6 - 37;  21 - 27;  2 - 49;  35 - 7; 
 26 - 16;  8 - 36;  8 - 38;  20 - 28;  21 - 21;  27 - 20;  14 - 28;  16 - 30;  35 - 7;  21 - 21;  27 - 15;  6 - 36;  32 - 17;  29 - 15;  14 - 28;  18 - 25;  15 - 32;  34 - 11;  32 - 14;  21 - 28;  18 - 24;  22 - 29;  13 - 37;  14 - 28;  35 - 7;  20 - 29;  15 - 28;  24 - 19;  16 - 30;  28 - 21; 
 31 - 12;  42 - 1;  31 - 13;  31 - 14;  22 - 25;  19 - 32;  31 - 11;  39 - 7;  29 - 13;  29 - 15;  28 - 19;  18 - 24;  13 - 29;  16 - 29;  18 - 24;  29 - 17;  37 - 5;  39 - 3;  27 - 19;  24 - 25;  19 - 24;  17 - 27;  33 - 13;  38 - 4;  18 - 26;  3 - 39;  16 - 26;  17 - 25;  37 - 9;  25 - 21; 
 17 - 25;  15 - 27;  41 - 4;  15 - 28;  27 - 16;  33 - 16;  25 - 18;  11 - 36;  7 - 43;  26 - 16;  44 - 5;  25 - 26;  37 - 11;  15 - 32;  6 - 39;  23 - 22;  20 - 24;  29 - 18;  13 - 29;  17 - 28;  8 - 34;  14 - 28;  23 - 19;  20 - 28;  44 - 7;  3 - 47;  27 - 17;  7 - 35;  26 - 17;  23 - 24; 
