 3 - 28;  11 - 19;  17 - 17;  13 - 17;  20 - 10;  5 - 25;  10 - 20;  17 - 17;  14 - 16;  4 - 26;  9 - 21;  16 - 14;  5 - 26;  11 - 21;  10 - 20;  20 - 10;  18 - 15;  21 - 13;  22 - 8;  29 - 5;  26 - 4;  19 - 11;  12 - 21;  2 - 28;  11 - 19;  9 - 26;  4 - 26;  8 - 25;  2 - 32;  3 - 27; 
 25 - 5;  12 - 18;  14 - 20;  7 - 28;  11 - 19;  20 - 10;  11 - 19;  22 - 10;  25 - 8;  1 - 33;  9 - 24;  17 - 17;  7 - 23;  8 - 22;  11 - 22;  24 - 7;  16 - 14;  17 - 13;  19 - 13;  24 - 9;  9 - 23;  12 - 21;  24 - 9;  17 - 13;  9 - 21;  3 - 27;  8 - 27;  4 - 26;  4 - 26;  4 - 29; 
 17 - 13;  16 - 15;  19 - 16;  17 - 13;  7 - 23;  17 - 17;  13 - 17;  13 - 19;  23 - 10;  30 - 4;  9 - 22;  9 - 22;  7 - 23;  2 - 29;  3 - 32;  16 - 18;  8 - 22;  7 - 23;  18 - 17;  15 - 15;  20 - 14;  3 - 27;  3 - 31;  4 - 26;  10 - 20;  12 - 20;  0 - 30;  2 - 28;  0 - 35;  2 - 28; 
 16 - 17;  15 - 16;  8 - 22;  10 - 22;  17 - 15;  20 - 15;  3 - 27;  22 - 13;  5 - 25;  4 - 31;  15 - 16;  2 - 28;  11 - 19;  4 - 26;  13 - 17;  13 - 21;  0 - 30;  10 - 21;  10 - 22;  1 - 31;  12 - 23;  2 - 28;  6 - 26;  7 - 28;  8 - 22;  18 - 17;  2 - 32;  2 - 30;  7 - 23;  10 - 24; 
 15 - 15;  10 - 20;  19 - 11;  15 - 19;  1 - 32;  2 - 28;  17 - 16;  13 - 17;  13 - 18;  23 - 7;  16 - 14;  7 - 23;  1 - 29;  1 - 29;  4 - 26;  1 - 29;  1 - 32;  14 - 16;  2 - 30;  8 - 26;  2 - 30;  2 - 30;  2 - 33;  10 - 23;  0 - 30;  1 - 29;  3 - 27;  7 - 23;  4 - 29;  0 - 34; 
 17 - 18;  23 - 11;  24 - 6;  24 - 8;  24 - 6;  20 - 15;  9 - 24;  10 - 21;  2 - 28;  16 - 14;  16 - 18;  9 - 21;  26 - 4;  14 - 16;  21 - 12;  13 - 17;  13 - 17;  8 - 22;  23 - 10;  23 - 8;  13 - 17;  24 - 10;  16 - 14;  10 - 25;  11 - 23;  23 - 12;  13 - 17;  0 - 30;  2 - 28;  1 - 29; 
 20 - 11;  5 - 30;  22 - 13;  9 - 24;  15 - 16;  28 - 7;  3 - 29;  17 - 18;  11 - 19;  23 - 7;  13 - 20;  24 - 7;  4 - 26;  13 - 22;  11 - 22;  17 - 13;  13 - 17;  17 - 17;  16 - 14;  19 - 11;  10 - 20;  23 - 11;  18 - 12;  23 - 7;  16 - 14;  2 - 28;  1 - 31;  5 - 27;  6 - 24;  19 - 12; 
 10 - 20;  27 - 6;  2 - 28;  14 - 16;  12 - 22;  26 - 4;  11 - 24;  19 - 11;  24 - 11;  2 - 31;  21 - 12;  2 - 28;  13 - 17;  21 - 11;  19 - 14;  13 - 19;  6 - 28;  9 - 22;  3 - 27;  22 - 10;  20 - 14;  18 - 14;  6 - 29;  12 - 18;  12 - 18;  9 - 27;  1 - 29;  2 - 28;  1 - 29;  1 - 32; 
 17 - 13;  17 - 15;  17 - 16;  17 - 18;  7 - 23;  16 - 14;  4 - 26;  8 - 22;  12 - 18;  6 - 25;  18 - 12;  18 - 14;  5 - 25;  11 - 19;  21 - 9;  17 - 13;  25 - 5;  17 - 13;  19 - 11;  20 - 14;  11 - 19;  16 - 17;  7 - 23;  24 - 6;  9 - 26;  12 - 23;  0 - 34;  2 - 31;  8 - 27;  6 - 27; 
 8 - 22;  12 - 19;  18 - 12;  11 - 19;  14 - 18;  10 - 25;  15 - 18;  18 - 16;  12 - 18;  27 - 7;  22 - 11;  27 - 4;  18 - 15;  20 - 10;  20 - 16;  14 - 19;  12 - 18;  15 - 20;  20 - 11;  22 - 8;  17 - 16;  15 - 19;  16 - 14;  6 - 24;  9 - 21;  15 - 15;  0 - 33;  2 - 30;  1 - 31;  4 - 29; 
 24 - 6;  26 - 8;  18 - 12;  21 - 10;  9 - 22;  14 - 16;  12 - 18;  23 - 12;  11 - 19;  6 - 25;  20 - 11;  21 - 14;  13 - 17;  16 - 14;  16 - 14;  8 - 24;  23 - 10;  17 - 15;  23 - 7;  16 - 14;  19 - 11;  18 - 16;  11 - 19;  1 - 32;  19 - 12;  11 - 22;  1 - 29;  7 - 23;  0 - 32;  6 - 24; 
 12 - 22;  10 - 21;  15 - 20;  17 - 16;  29 - 1;  16 - 14;  5 - 26;  18 - 12;  21 - 14;  14 - 20;  24 - 6;  24 - 8;  21 - 9;  19 - 11;  11 - 19;  16 - 19;  13 - 19;  18 - 15;  9 - 25;  11 - 22;  18 - 12;  12 - 22;  16 - 15;  7 - 26;  5 - 26;  3 - 28;  6 - 24;  9 - 21;  4 - 26;  3 - 27; 
 13 - 17;  3 - 27;  26 - 6;  28 - 4;  17 - 13;  16 - 15;  17 - 13;  8 - 22;  7 - 26;  17 - 13;  24 - 6;  11 - 21;  1 - 29;  29 - 5;  11 - 24;  4 - 26;  3 - 27;  10 - 23;  25 - 8;  22 - 9;  4 - 26;  13 - 19;  4 - 26;  7 - 23;  15 - 16;  8 - 22;  8 - 26;  1 - 29;  4 - 26;  1 - 30; 
 14 - 18;  28 - 4;  16 - 14;  23 - 7;  12 - 19;  16 - 14;  7 - 26;  18 - 12;  16 - 15;  9 - 21;  15 - 17;  17 - 18;  17 - 13;  12 - 18;  10 - 24;  12 - 18;  18 - 12;  20 - 10;  20 - 10;  16 - 20;  23 - 7;  13 - 17;  18 - 12;  3 - 31;  16 - 15;  4 - 26;  10 - 20;  1 - 32;  0 - 30;  8 - 22; 
 17 - 13;  12 - 20;  2 - 33;  10 - 24;  17 - 15;  21 - 11;  5 - 25;  11 - 19;  24 - 7;  12 - 18;  26 - 7;  17 - 13;  22 - 8;  20 - 12;  18 - 12;  17 - 17;  19 - 12;  23 - 7;  26 - 9;  17 - 17;  24 - 6;  2 - 28;  15 - 20;  25 - 5;  15 - 15;  1 - 29;  9 - 25;  0 - 33;  4 - 29;  6 - 27; 
 22 - 9;  14 - 16;  15 - 20;  19 - 11;  18 - 14;  21 - 11;  17 - 13;  16 - 17;  22 - 13;  21 - 11;  21 - 14;  25 - 5;  9 - 24;  20 - 11;  7 - 23;  22 - 10;  22 - 11;  10 - 22;  16 - 15;  10 - 25;  24 - 10;  21 - 11;  14 - 21;  8 - 22;  15 - 15;  5 - 25;  2 - 28;  1 - 34;  7 - 23;  2 - 28; 
 8 - 23;  9 - 21;  16 - 14;  14 - 17;  15 - 16;  9 - 21;  10 - 20;  15 - 15;  16 - 19;  11 - 20;  10 - 20;  12 - 18;  21 - 9;  10 - 20;  18 - 15;  22 - 13;  15 - 20;  22 - 12;  22 - 8;  12 - 22;  22 - 8;  19 - 11;  12 - 20;  5 - 25;  18 - 12;  19 - 16;  8 - 23;  7 - 23;  2 - 32;  22 - 8; 
 14 - 20;  19 - 11;  12 - 18;  15 - 15;  20 - 13;  13 - 20;  29 - 4;  24 - 9;  20 - 10;  12 - 18;  18 - 12;  30 - 5;  6 - 28;  13 - 17;  18 - 12;  8 - 22;  26 - 8;  17 - 13;  16 - 16;  12 - 18;  19 - 11;  21 - 13;  7 - 23;  1 - 29;  2 - 33;  12 - 18;  0 - 30;  0 - 32;  0 - 34;  1 - 34; 
 18 - 16;  18 - 14;  17 - 13;  16 - 14;  24 - 10;  17 - 14;  13 - 22;  17 - 14;  23 - 10;  15 - 15;  14 - 16;  11 - 21;  21 - 9;  18 - 12;  18 - 12;  23 - 10;  26 - 8;  22 - 9;  6 - 25;  15 - 15;  20 - 10;  17 - 13;  12 - 18;  15 - 15;  15 - 17;  4 - 27;  2 - 28;  8 - 27;  1 - 33;  0 - 32; 
 20 - 10;  17 - 13;  32 - 2;  16 - 14;  24 - 11;  14 - 16;  6 - 29;  8 - 22;  9 - 21;  17 - 13;  6 - 24;  24 - 7;  10 - 20;  2 - 28;  21 - 10;  18 - 13;  22 - 8;  5 - 25;  24 - 11;  2 - 28;  3 - 27;  7 - 23;  25 - 5;  11 - 23;  7 - 23;  3 - 32;  1 - 33;  4 - 29;  13 - 17;  1 - 34; 
 9 - 21;  26 - 7;  7 - 24;  14 - 16;  22 - 11;  9 - 23;  13 - 17;  31 - 1;  19 - 11;  22 - 11;  13 - 17;  7 - 26;  12 - 20;  16 - 14;  25 - 5;  11 - 22;  3 - 31;  5 - 25;  15 - 15;  26 - 9;  4 - 32;  13 - 17;  11 - 19;  9 - 23;  3 - 27;  11 - 22;  9 - 21;  7 - 25;  3 - 27;  9 - 22; 
 18 - 12;  22 - 13;  17 - 13;  15 - 16;  5 - 25;  15 - 15;  19 - 16;  16 - 14;  8 - 24;  20 - 10;  28 - 6;  24 - 11;  17 - 18;  19 - 15;  11 - 23;  17 - 13;  15 - 20;  8 - 22;  30 - 5;  12 - 18;  22 - 8;  19 - 11;  4 - 26;  15 - 15;  3 - 27;  4 - 26;  4 - 26;  3 - 29;  2 - 28;  0 - 30; 
 8 - 22;  12 - 18;  12 - 18;  16 - 16;  18 - 12;  3 - 31;  16 - 14;  20 - 13;  12 - 21;  17 - 13;  11 - 19;  16 - 17;  28 - 5;  22 - 11;  22 - 10;  13 - 19;  10 - 20;  24 - 7;  30 - 3;  21 - 13;  22 - 9;  22 - 8;  14 - 20;  17 - 13;  14 - 16;  20 - 15;  2 - 28;  4 - 26;  8 - 22;  1 - 31; 
 16 - 18;  19 - 12;  11 - 19;  22 - 8;  14 - 21;  16 - 15;  16 - 14;  18 - 13;  28 - 7;  21 - 9;  7 - 27;  19 - 11;  15 - 15;  25 - 7;  19 - 13;  23 - 11;  21 - 10;  19 - 14;  20 - 13;  17 - 13;  7 - 23;  15 - 15;  11 - 19;  22 - 12;  5 - 25;  1 - 33;  1 - 32;  0 - 30;  6 - 28;  3 - 29; 
 18 - 12;  17 - 17;  12 - 22;  25 - 6;  10 - 20;  7 - 23;  11 - 23;  28 - 2;  6 - 29;  15 - 20;  12 - 21;  21 - 9;  18 - 12;  17 - 18;  11 - 21;  17 - 13;  25 - 8;  20 - 10;  27 - 3;  20 - 10;  18 - 12;  19 - 11;  9 - 21;  4 - 29;  1 - 29;  9 - 21;  9 - 25;  3 - 31;  6 - 24;  0 - 34; 
 15 - 15;  18 - 12;  13 - 19;  9 - 21;  18 - 16;  20 - 15;  8 - 22;  21 - 9;  26 - 9;  25 - 5;  25 - 6;  12 - 18;  29 - 6;  18 - 12;  20 - 10;  13 - 17;  22 - 13;  23 - 7;  5 - 25;  17 - 13;  18 - 12;  22 - 8;  12 - 18;  9 - 26;  3 - 30;  15 - 15;  1 - 32;  3 - 31;  7 - 26;  0 - 30; 
 18 - 16;  19 - 12;  16 - 14;  15 - 15;  8 - 22;  4 - 26;  1 - 29;  17 - 15;  16 - 15;  27 - 3;  12 - 18;  30 - 5;  20 - 15;  14 - 18;  11 - 19;  13 - 22;  17 - 14;  26 - 4;  18 - 17;  14 - 16;  9 - 21;  19 - 11;  8 - 24;  9 - 23;  21 - 11;  2 - 28;  1 - 29;  1 - 34;  6 - 24;  1 - 31; 
 18 - 17;  3 - 32;  13 - 17;  21 - 9;  15 - 15;  30 - 5;  23 - 7;  17 - 13;  15 - 20;  7 - 23;  26 - 4;  12 - 21;  25 - 5;  4 - 26;  10 - 21;  22 - 13;  12 - 18;  15 - 15;  24 - 9;  17 - 15;  16 - 14;  11 - 19;  4 - 29;  10 - 20;  17 - 17;  3 - 27;  8 - 22;  2 - 30;  0 - 32;  2 - 29; 
 12 - 18;  8 - 22;  12 - 18;  16 - 16;  4 - 26;  3 - 30;  19 - 11;  21 - 11;  17 - 15;  22 - 8;  18 - 12;  9 - 26;  12 - 20;  18 - 16;  11 - 19;  18 - 14;  15 - 15;  8 - 22;  11 - 23;  16 - 15;  19 - 11;  11 - 21;  15 - 17;  15 - 15;  19 - 16;  17 - 15;  0 - 33;  2 - 28;  3 - 27;  1 - 29; 
 4 - 28;  13 - 17;  20 - 10;  22 - 13;  5 - 30;  16 - 14;  21 - 10;  14 - 16;  9 - 21;  11 - 19;  29 - 5;  14 - 16;  20 - 12;  13 - 17;  19 - 12;  10 - 23;  23 - 7;  19 - 11;  25 - 5;  12 - 18;  23 - 12;  11 - 19;  9 - 21;  11 - 23;  3 - 32;  11 - 20;  12 - 22;  1 - 31;  0 - 30;  1 - 29; 
 22 - 13;  27 - 3;  8 - 27;  15 - 18;  16 - 14;  20 - 10;  19 - 12;  20 - 12;  13 - 22;  27 - 8;  21 - 13;  15 - 15;  15 - 15;  18 - 12;  24 - 10;  21 - 9;  12 - 18;  13 - 17;  12 - 18;  23 - 7;  19 - 16;  19 - 12;  5 - 25;  18 - 12;  2 - 28;  11 - 22;  15 - 19;  3 - 31;  1 - 34;  16 - 14; 
 23 - 12;  18 - 12;  12 - 20;  9 - 24;  17 - 14;  3 - 31;  22 - 10;  2 - 28;  3 - 27;  7 - 23;  12 - 20;  16 - 14;  14 - 20;  12 - 22;  3 - 27;  7 - 27;  3 - 27;  1 - 29;  10 - 25;  7 - 23;  20 - 11;  7 - 23;  4 - 26;  3 - 27;  12 - 18;  10 - 20;  1 - 29;  2 - 28;  9 - 22;  12 - 18; 
 11 - 19;  20 - 10;  18 - 17;  8 - 22;  13 - 17;  3 - 27;  15 - 19;  12 - 23;  14 - 16;  13 - 17;  19 - 15;  26 - 5;  12 - 18;  17 - 15;  20 - 13;  2 - 28;  20 - 15;  14 - 16;  8 - 26;  4 - 26;  20 - 10;  12 - 18;  18 - 16;  5 - 27;  19 - 11;  18 - 14;  4 - 26;  2 - 28;  6 - 28;  1 - 29; 
 23 - 11;  31 - 4;  11 - 20;  14 - 16;  15 - 15;  10 - 20;  26 - 7;  16 - 16;  24 - 7;  20 - 12;  20 - 10;  10 - 23;  15 - 18;  6 - 27;  13 - 18;  29 - 5;  9 - 26;  25 - 5;  16 - 18;  19 - 16;  15 - 19;  16 - 17;  11 - 21;  2 - 28;  11 - 19;  2 - 28;  2 - 33;  8 - 27;  5 - 29;  1 - 29; 
 14 - 16;  20 - 13;  13 - 17;  23 - 7;  7 - 23;  10 - 20;  18 - 12;  17 - 13;  19 - 14;  26 - 9;  13 - 17;  19 - 12;  17 - 16;  23 - 7;  14 - 16;  23 - 7;  18 - 15;  11 - 19;  18 - 14;  14 - 19;  12 - 18;  25 - 10;  8 - 23;  17 - 13;  8 - 22;  9 - 23;  1 - 33;  3 - 29;  8 - 22;  3 - 27; 
 16 - 19;  20 - 10;  30 - 5;  4 - 26;  2 - 28;  15 - 15;  13 - 20;  14 - 16;  11 - 23;  20 - 10;  24 - 6;  10 - 20;  18 - 12;  7 - 28;  13 - 20;  14 - 16;  12 - 18;  25 - 9;  29 - 2;  23 - 7;  21 - 13;  12 - 22;  18 - 12;  32 - 3;  5 - 28;  13 - 20;  0 - 30;  3 - 27;  1 - 29;  14 - 19; 
 9 - 21;  19 - 11;  15 - 15;  15 - 17;  21 - 9;  23 - 12;  6 - 24;  11 - 21;  18 - 17;  23 - 10;  9 - 25;  22 - 13;  12 - 21;  12 - 18;  12 - 19;  7 - 23;  11 - 22;  19 - 13;  7 - 23;  9 - 22;  10 - 20;  20 - 11;  3 - 27;  4 - 26;  15 - 16;  12 - 21;  14 - 20;  3 - 31;  9 - 26;  1 - 33; 
 22 - 13;  15 - 19;  22 - 13;  19 - 12;  20 - 10;  17 - 18;  18 - 16;  17 - 18;  26 - 5;  14 - 21;  26 - 8;  18 - 12;  22 - 8;  15 - 18;  18 - 16;  19 - 13;  6 - 24;  17 - 13;  22 - 10;  16 - 19;  23 - 7;  23 - 7;  20 - 10;  10 - 24;  18 - 17;  15 - 17;  2 - 28;  0 - 30;  2 - 28;  0 - 33; 
 9 - 23;  22 - 9;  6 - 25;  9 - 21;  14 - 20;  7 - 24;  27 - 3;  13 - 17;  14 - 17;  8 - 22;  13 - 18;  24 - 10;  17 - 13;  15 - 16;  19 - 15;  25 - 5;  20 - 13;  11 - 24;  11 - 19;  14 - 16;  21 - 10;  18 - 13;  2 - 28;  15 - 18;  11 - 19;  16 - 16;  6 - 28;  0 - 30;  1 - 29;  8 - 25; 
