 2 - 48;  7 - 43;  11 - 31;  2 - 48;  14 - 30;  16 - 26;  15 - 32;  13 - 30;  23 - 27;  14 - 35;  2 - 44;  10 - 38;  1 - 49;  10 - 32;  12 - 37;  12 - 34;  4 - 43;  2 - 45;  2 - 44;  6 - 36;  1 - 41;  0 - 49;  0 - 51;  11 - 37;  22 - 27;  1 - 43;  1 - 41;  0 - 49;  14 - 28;  14 - 28; 
 2 - 40;  10 - 32;  1 - 41;  2 - 40;  14 - 28;  17 - 34;  10 - 32;  13 - 31;  5 - 37;  23 - 27;  0 - 44;  0 - 42;  2 - 45;  22 - 28;  10 - 32;  4 - 40;  10 - 34;  11 - 31;  12 - 38;  2 - 45;  3 - 42;  3 - 45;  2 - 40;  1 - 41;  1 - 50;  1 - 41;  3 - 39;  4 - 41;  10 - 32;  11 - 31; 
 33 - 10;  9 - 40;  5 - 38;  22 - 27;  10 - 36;  1 - 42;  10 - 35;  13 - 33;  2 - 46;  26 - 18;  22 - 28;  4 - 39;  2 - 41;  12 - 30;  16 - 26;  7 - 35;  0 - 45;  5 - 44;  7 - 39;  11 - 38;  23 - 25;  32 - 14;  28 - 14;  16 - 32;  17 - 34;  14 - 28;  2 - 40;  10 - 37;  10 - 41;  15 - 27; 
 24 - 21;  29 - 15;  25 - 25;  27 - 15;  32 - 18;  17 - 28;  5 - 39;  23 - 26;  13 - 38;  15 - 27;  15 - 35;  39 - 3;  20 - 27;  18 - 24;  41 - 7;  22 - 20;  23 - 23;  6 - 40;  15 - 34;  6 - 45;  26 - 16;  15 - 28;  16 - 26;  16 - 26;  16 - 27;  5 - 37;  1 - 50;  46 - 5;  24 - 18;  45 - 5; 
 34 - 15;  27 - 18;  1 - 41;  34 - 17;  18 - 24;  30 - 16;  28 - 14;  32 - 17;  20 - 28;  16 - 26;  36 - 6;  25 - 26;  27 - 19;  32 - 14;  35 - 14;  9 - 39;  17 - 27;  36 - 14;  15 - 27;  25 - 25;  23 - 20;  14 - 37;  30 - 18;  27 - 15;  20 - 26;  5 - 37;  18 - 25;  17 - 25;  15 - 36;  33 - 14; 
 24 - 20;  13 - 37;  22 - 24;  22 - 25;  26 - 17;  11 - 31;  15 - 30;  27 - 23;  27 - 17;  27 - 15;  17 - 25;  16 - 33;  32 - 13;  24 - 18;  29 - 13;  27 - 21;  31 - 11;  5 - 39;  11 - 31;  19 - 25;  25 - 22;  31 - 15;  8 - 41;  16 - 30;  27 - 16;  47 - 3;  24 - 26;  17 - 32;  30 - 16;  4 - 38; 
 42 - 6;  16 - 26;  14 - 36;  5 - 37;  26 - 17;  15 - 27;  10 - 38;  33 - 14;  19 - 24;  16 - 28;  25 - 18;  23 - 19;  20 - 26;  28 - 15;  31 - 12;  16 - 28;  35 - 7;  26 - 20;  23 - 19;  6 - 39;  33 - 9;  38 - 4;  32 - 13;  28 - 14;  17 - 25;  16 - 29;  4 - 38;  0 - 43;  22 - 20;  12 - 30; 
 10 - 35;  20 - 26;  35 - 7;  17 - 25;  13 - 35;  9 - 36;  33 - 14;  29 - 19;  23 - 19;  17 - 25;  18 - 24;  16 - 26;  15 - 27;  28 - 18;  22 - 25;  26 - 22;  40 - 5;  36 - 6;  19 - 23;  26 - 17;  39 - 8;  14 - 29;  16 - 30;  22 - 20;  5 - 37;  22 - 24;  16 - 26;  12 - 30;  46 - 1;  22 - 27; 
 24 - 18;  17 - 32;  27 - 17;  30 - 16;  22 - 26;  10 - 34;  23 - 26;  33 - 16;  43 - 2;  26 - 16;  18 - 25;  16 - 26;  18 - 24;  30 - 12;  32 - 14;  31 - 16;  16 - 26;  43 - 6;  31 - 16;  13 - 33;  6 - 38;  16 - 26;  17 - 28;  38 - 8;  36 - 7;  7 - 43;  38 - 4;  27 - 15;  24 - 18;  12 - 30; 
 17 - 32;  15 - 27;  28 - 14;  25 - 17;  22 - 24;  15 - 27;  28 - 14;  41 - 4;  29 - 18;  17 - 25;  18 - 24;  27 - 15;  27 - 23;  7 - 35;  6 - 36;  34 - 16;  25 - 19;  19 - 27;  17 - 25;  27 - 22;  8 - 41;  27 - 17;  35 - 7;  23 - 19;  40 - 2;  4 - 41;  12 - 37;  31 - 14;  14 - 37;  21 - 27; 
 10 - 41;  44 - 4;  26 - 16;  36 - 15;  39 - 8;  8 - 36;  19 - 28;  19 - 23;  15 - 32;  17 - 25;  24 - 18;  17 - 25;  19 - 23;  27 - 22;  39 - 4;  20 - 22;  46 - 3;  27 - 15;  17 - 25;  36 - 14;  14 - 32;  35 - 10;  20 - 24;  18 - 24;  25 - 17;  8 - 36;  27 - 21;  14 - 36;  3 - 45;  20 - 27; 
 18 - 30;  38 - 4;  40 - 9;  9 - 33;  37 - 6;  15 - 27;  31 - 20;  28 - 17;  26 - 16;  38 - 8;  18 - 25;  8 - 34;  27 - 15;  12 - 36;  36 - 10;  41 - 6;  11 - 35;  14 - 34;  19 - 27;  5 - 44;  27 - 17;  15 - 27;  30 - 14;  28 - 16;  39 - 3;  26 - 16;  27 - 17;  22 - 20;  3 - 39;  11 - 32; 
