 0 - 48;  2 - 45;  0 - 49;  4 - 46;  10 - 35;  9 - 35;  10 - 38;  3 - 39;  20 - 28;  3 - 39;  2 - 49;  4 - 45;  11 - 33;  2 - 49;  3 - 39;  24 - 18;  0 - 48;  1 - 47;  25 - 26;  1 - 47;  12 - 38;  0 - 45;  2 - 40;  21 - 30;  12 - 30;  13 - 29;  1 - 41;  2 - 41;  2 - 46;  4 - 45; 
 1 - 49;  11 - 31;  2 - 40;  0 - 43;  1 - 47;  16 - 26;  3 - 43;  5 - 40;  3 - 43;  2 - 40;  3 - 42;  1 - 48;  12 - 30;  7 - 35;  1 - 41;  1 - 50;  4 - 38;  2 - 40;  0 - 46;  1 - 50;  0 - 47;  0 - 42;  1 - 45;  1 - 47;  1 - 41;  2 - 46;  1 - 49;  2 - 46;  1 - 49;  11 - 31; 
 25 - 21;  4 - 42;  22 - 20;  14 - 28;  1 - 41;  5 - 37;  11 - 31;  16 - 26;  24 - 25;  10 - 41;  25 - 19;  3 - 46;  23 - 22;  0 - 46;  15 - 30;  4 - 45;  21 - 23;  13 - 38;  12 - 30;  3 - 42;  12 - 30;  15 - 27;  2 - 40;  4 - 45;  22 - 24;  4 - 38;  6 - 36;  32 - 10;  2 - 49;  45 - 6; 
 26 - 24;  26 - 21;  26 - 16;  25 - 17;  28 - 22;  16 - 27;  18 - 29;  35 - 8;  29 - 14;  14 - 29;  41 - 8;  28 - 21;  12 - 35;  29 - 16;  7 - 35;  15 - 32;  24 - 18;  6 - 44;  27 - 15;  7 - 36;  25 - 17;  35 - 16;  14 - 28;  24 - 18;  45 - 3;  3 - 42;  29 - 15;  18 - 24;  26 - 16;  1 - 42; 
 40 - 6;  24 - 27;  16 - 31;  14 - 30;  21 - 25;  15 - 27;  15 - 32;  24 - 18;  28 - 18;  26 - 16;  26 - 17;  16 - 26;  7 - 35;  8 - 34;  25 - 24;  4 - 44;  26 - 20;  27 - 15;  25 - 17;  28 - 14;  12 - 39;  32 - 18;  19 - 25;  14 - 28;  16 - 26;  31 - 17;  16 - 26;  16 - 35;  14 - 31;  37 - 12; 
 17 - 29;  42 - 6;  27 - 15;  26 - 16;  18 - 30;  17 - 33;  17 - 25;  27 - 20;  13 - 29;  17 - 33;  26 - 16;  27 - 16;  26 - 16;  27 - 15;  5 - 38;  16 - 26;  26 - 17;  33 - 17;  24 - 18;  36 - 15;  33 - 17;  26 - 16;  30 - 16;  16 - 26;  15 - 33;  33 - 18;  25 - 17;  4 - 38;  37 - 14;  28 - 16; 
 23 - 24;  25 - 17;  14 - 28;  14 - 28;  27 - 15;  25 - 25;  14 - 34;  27 - 21;  15 - 27;  6 - 43;  20 - 29;  23 - 24;  39 - 3;  6 - 36;  37 - 5;  28 - 14;  22 - 20;  2 - 44;  18 - 24;  13 - 29;  18 - 33;  12 - 34;  16 - 32;  8 - 34;  16 - 32;  16 - 30;  27 - 15;  26 - 16;  32 - 12;  24 - 19; 
 31 - 11;  36 - 9;  36 - 6;  26 - 16;  4 - 38;  28 - 15;  26 - 16;  28 - 16;  33 - 14;  28 - 16;  13 - 36;  43 - 6;  26 - 16;  33 - 11;  26 - 16;  24 - 23;  23 - 19;  5 - 37;  9 - 36;  12 - 35;  8 - 34;  15 - 27;  14 - 30;  16 - 29;  6 - 42;  19 - 23;  15 - 36;  16 - 28;  26 - 16;  12 - 39; 
 15 - 28;  37 - 6;  40 - 6;  26 - 17;  14 - 28;  40 - 5;  16 - 26;  17 - 25;  35 - 15;  35 - 7;  13 - 33;  27 - 19;  34 - 14;  15 - 32;  21 - 21;  17 - 34;  20 - 31;  14 - 33;  25 - 23;  28 - 14;  17 - 25;  19 - 23;  24 - 18;  24 - 25;  7 - 44;  24 - 26;  12 - 33;  6 - 44;  14 - 36;  23 - 19; 
 19 - 25;  33 - 18;  17 - 32;  14 - 37;  31 - 11;  25 - 24;  6 - 36;  16 - 32;  13 - 29;  10 - 33;  27 - 18;  39 - 9;  24 - 22;  17 - 25;  40 - 6;  26 - 18;  28 - 14;  34 - 16;  25 - 19;  39 - 4;  37 - 7;  25 - 17;  25 - 25;  13 - 29;  19 - 26;  34 - 8;  20 - 23;  21 - 24;  29 - 17;  30 - 21; 
 13 - 29;  19 - 23;  24 - 18;  12 - 35;  5 - 37;  14 - 28;  3 - 39;  11 - 31;  16 - 33;  26 - 24;  19 - 25;  14 - 28;  7 - 39;  15 - 27;  42 - 5;  24 - 18;  16 - 26;  38 - 13;  2 - 48;  17 - 27;  7 - 41;  29 - 19;  19 - 24;  5 - 37;  13 - 29;  17 - 25;  13 - 34;  19 - 23;  27 - 18;  5 - 37; 
 28 - 16;  15 - 27;  8 - 34;  40 - 4;  19 - 24;  18 - 27;  39 - 8;  22 - 25;  26 - 19;  17 - 34;  27 - 17;  5 - 46;  25 - 17;  28 - 14;  28 - 20;  29 - 19;  26 - 23;  33 - 16;  13 - 29;  16 - 26;  28 - 14;  24 - 26;  38 - 4;  2 - 45;  22 - 22;  17 - 30;  18 - 32;  26 - 16;  14 - 28;  33 - 12; 
 27 - 15;  34 - 15;  26 - 25;  17 - 25;  7 - 35;  15 - 27;  30 - 16;  7 - 44;  10 - 38;  30 - 16;  19 - 24;  23 - 26;  29 - 15;  27 - 17;  24 - 27;  15 - 29;  21 - 29;  36 - 6;  28 - 14;  21 - 21;  26 - 16;  3 - 39;  39 - 5;  20 - 28;  8 - 35;  17 - 34;  27 - 15;  23 - 24;  29 - 13;  28 - 14; 
 27 - 16;  4 - 38;  5 - 37;  17 - 25;  28 - 19;  12 - 38;  43 - 6;  29 - 15;  18 - 26;  34 - 8;  24 - 18;  13 - 36;  9 - 38;  5 - 37;  18 - 24;  24 - 24;  37 - 5;  7 - 40;  24 - 18;  13 - 34;  34 - 12;  25 - 17;  15 - 27;  16 - 32;  25 - 17;  3 - 46;  13 - 34;  15 - 34;  3 - 40;  29 - 18; 
 29 - 13;  38 - 4;  23 - 27;  35 - 7;  16 - 26;  30 - 20;  22 - 20;  21 - 23;  36 - 7;  16 - 29;  25 - 25;  31 - 17;  14 - 28;  17 - 25;  27 - 15;  12 - 34;  12 - 38;  24 - 18;  30 - 14;  15 - 27;  33 - 13;  38 - 4;  17 - 27;  7 - 37;  16 - 28;  24 - 25;  28 - 15;  41 - 8;  16 - 26;  35 - 7; 
 23 - 25;  14 - 36;  15 - 35;  28 - 14;  38 - 7;  29 - 13;  15 - 27;  22 - 27;  3 - 42;  4 - 44;  25 - 17;  25 - 26;  28 - 16;  5 - 37;  22 - 29;  24 - 21;  36 - 6;  24 - 18;  36 - 8;  10 - 41;  24 - 19;  15 - 36;  16 - 26;  41 - 10;  17 - 27;  22 - 23;  10 - 41;  24 - 18;  25 - 17;  26 - 17; 
 25 - 24;  11 - 34;  38 - 6;  41 - 4;  25 - 24;  26 - 24;  16 - 26;  22 - 20;  29 - 16;  17 - 26;  19 - 31;  21 - 23;  16 - 26;  17 - 26;  26 - 20;  15 - 33;  31 - 18;  39 - 5;  28 - 17;  19 - 29;  37 - 14;  13 - 29;  12 - 37;  21 - 24;  14 - 28;  40 - 7;  17 - 29;  16 - 26;  14 - 36;  5 - 37; 
 20 - 22;  13 - 29;  17 - 34;  14 - 36;  13 - 32;  26 - 25;  27 - 19;  5 - 46;  16 - 27;  46 - 4;  14 - 28;  16 - 26;  16 - 31;  36 - 6;  29 - 17;  17 - 26;  14 - 36;  19 - 26;  34 - 15;  9 - 33;  25 - 25;  30 - 15;  26 - 25;  19 - 27;  25 - 17;  23 - 21;  13 - 29;  13 - 29;  35 - 12;  15 - 28; 
 31 - 20;  11 - 39;  6 - 40;  15 - 27;  13 - 29;  18 - 24;  33 - 10;  12 - 32;  28 - 15;  19 - 27;  17 - 31;  26 - 19;  17 - 25;  22 - 26;  16 - 30;  9 - 35;  6 - 37;  25 - 26;  27 - 21;  14 - 37;  31 - 20;  24 - 18;  18 - 28;  15 - 29;  17 - 31;  21 - 24;  19 - 29;  18 - 33;  4 - 38;  20 - 31; 
 37 - 5;  16 - 26;  14 - 28;  41 - 3;  12 - 30;  29 - 14;  16 - 26;  4 - 38;  19 - 23;  13 - 38;  12 - 30;  35 - 12;  29 - 13;  37 - 12;  7 - 44;  27 - 15;  35 - 7;  26 - 16;  33 - 17;  31 - 16;  28 - 20;  30 - 21;  33 - 12;  35 - 14;  25 - 17;  16 - 26;  27 - 16;  6 - 36;  11 - 34;  25 - 17; 
 27 - 15;  17 - 25;  15 - 29;  20 - 31;  14 - 28;  29 - 13;  44 - 4;  14 - 34;  22 - 20;  26 - 19;  6 - 36;  14 - 33;  17 - 28;  18 - 24;  26 - 24;  15 - 27;  22 - 20;  17 - 29;  11 - 38;  15 - 27;  40 - 11;  23 - 25;  28 - 14;  32 - 14;  19 - 23;  14 - 28;  26 - 24;  24 - 25;  34 - 17;  31 - 18; 
 21 - 24;  42 - 9;  43 - 7;  23 - 26;  15 - 27;  27 - 15;  16 - 34;  3 - 42;  17 - 26;  9 - 37;  26 - 17;  20 - 25;  19 - 26;  27 - 16;  13 - 37;  34 - 8;  15 - 31;  14 - 28;  33 - 16;  27 - 20;  15 - 34;  27 - 15;  21 - 25;  14 - 32;  19 - 23;  35 - 10;  31 - 16;  15 - 29;  14 - 28;  16 - 26; 
 33 - 18;  36 - 15;  2 - 43;  38 - 4;  24 - 18;  34 - 11;  6 - 44;  31 - 17;  37 - 5;  19 - 27;  6 - 43;  28 - 23;  18 - 24;  37 - 14;  14 - 37;  40 - 11;  22 - 22;  7 - 35;  36 - 6;  17 - 33;  33 - 11;  16 - 26;  27 - 17;  36 - 8;  13 - 33;  15 - 34;  6 - 40;  23 - 26;  13 - 35;  9 - 42; 
 38 - 13;  6 - 42;  28 - 15;  35 - 7;  26 - 24;  27 - 17;  3 - 39;  37 - 5;  23 - 27;  21 - 25;  15 - 27;  18 - 26;  8 - 37;  46 - 5;  20 - 22;  37 - 5;  27 - 15;  31 - 19;  4 - 42;  27 - 17;  27 - 16;  10 - 35;  42 - 5;  16 - 26;  28 - 23;  26 - 16;  16 - 29;  23 - 25;  9 - 38;  24 - 25; 
 35 - 16;  18 - 28;  34 - 16;  12 - 30;  18 - 24;  32 - 15;  19 - 27;  17 - 28;  27 - 15;  35 - 10;  17 - 25;  26 - 16;  36 - 7;  19 - 31;  21 - 28;  38 - 6;  16 - 26;  27 - 17;  24 - 18;  5 - 41;  28 - 18;  27 - 24;  39 - 3;  22 - 24;  16 - 26;  18 - 27;  29 - 13;  4 - 45;  7 - 35;  4 - 45; 
