 15 - 31;  16 - 26;  27 - 18;  17 - 25;  34 - 8;  7 - 35;  27 - 16;  15 - 27;  31 - 11;  28 - 15;  32 - 15;  17 - 26;  23 - 26;  18 - 29;  11 - 31;  39 - 5;  37 - 5;  7 - 35;  35 - 11;  16 - 26;  27 - 18;  25 - 17;  18 - 25;  11 - 32;  4 - 38;  5 - 37;  19 - 29;  6 - 40;  34 - 8;  23 - 19; 
 17 - 31;  26 - 23;  26 - 16;  35 - 14;  6 - 38;  2 - 43;  24 - 18;  34 - 10;  18 - 24;  11 - 31;  28 - 14;  32 - 12;  28 - 20;  25 - 17;  26 - 22;  30 - 20;  32 - 16;  18 - 24;  28 - 15;  32 - 14;  38 - 12;  17 - 25;  4 - 38;  28 - 17;  25 - 17;  29 - 13;  27 - 15;  26 - 17;  15 - 27;  31 - 20; 
 27 - 15;  25 - 25;  19 - 29;  19 - 26;  21 - 22;  25 - 17;  28 - 23;  19 - 23;  15 - 27;  29 - 13;  19 - 24;  32 - 10;  18 - 24;  16 - 28;  18 - 28;  27 - 15;  15 - 33;  29 - 18;  39 - 6;  28 - 17;  17 - 27;  27 - 16;  19 - 26;  13 - 31;  17 - 25;  15 - 35;  23 - 25;  12 - 30;  9 - 33;  12 - 34; 
 26 - 22;  20 - 23;  18 - 24;  20 - 26;  19 - 26;  41 - 1;  21 - 21;  30 - 14;  27 - 18;  8 - 36;  17 - 27;  17 - 29;  33 - 9;  33 - 14;  13 - 32;  36 - 13;  31 - 20;  24 - 27;  17 - 28;  23 - 19;  14 - 32;  30 - 14;  26 - 24;  27 - 21;  2 - 45;  19 - 25;  4 - 38;  16 - 31;  16 - 26;  18 - 30; 
 36 - 13;  17 - 32;  30 - 15;  27 - 15;  19 - 23;  40 - 4;  36 - 7;  29 - 16;  39 - 7;  15 - 30;  38 - 8;  27 - 18;  7 - 36;  35 - 7;  7 - 35;  20 - 22;  42 - 6;  27 - 18;  19 - 25;  39 - 3;  29 - 13;  31 - 14;  32 - 19;  24 - 21;  7 - 38;  31 - 20;  37 - 5;  22 - 20;  11 - 37;  40 - 9; 
 5 - 37;  30 - 16;  21 - 24;  21 - 26;  16 - 26;  16 - 26;  29 - 19;  32 - 18;  6 - 36;  19 - 23;  31 - 12;  18 - 28;  36 - 11;  19 - 23;  20 - 27;  19 - 23;  23 - 19;  12 - 30;  15 - 27;  36 - 6;  2 - 42;  20 - 27;  27 - 23;  13 - 37;  17 - 34;  21 - 30;  13 - 29;  27 - 22;  24 - 21;  25 - 21; 
 30 - 17;  15 - 27;  30 - 14;  13 - 36;  34 - 8;  30 - 19;  17 - 25;  37 - 5;  33 - 14;  31 - 11;  24 - 22;  39 - 3;  26 - 22;  35 - 10;  30 - 19;  30 - 17;  17 - 27;  12 - 38;  29 - 13;  14 - 28;  25 - 26;  29 - 17;  4 - 38;  39 - 3;  13 - 29;  19 - 25;  11 - 31;  37 - 5;  5 - 37;  31 - 11; 
 28 - 15;  38 - 12;  36 - 14;  36 - 9;  33 - 16;  38 - 6;  25 - 19;  14 - 31;  37 - 7;  35 - 10;  31 - 20;  5 - 37;  25 - 19;  30 - 15;  31 - 14;  36 - 12;  18 - 24;  15 - 36;  9 - 40;  12 - 34;  23 - 26;  8 - 37;  25 - 23;  30 - 14;  16 - 26;  1 - 41;  23 - 19;  4 - 38;  25 - 17;  25 - 26; 
 13 - 37;  42 - 4;  27 - 16;  16 - 26;  27 - 15;  14 - 31;  30 - 19;  24 - 24;  17 - 27;  30 - 18;  42 - 6;  24 - 18;  26 - 16;  20 - 25;  29 - 22;  24 - 18;  33 - 13;  28 - 14;  42 - 5;  18 - 24;  17 - 30;  37 - 5;  16 - 26;  22 - 24;  18 - 27;  18 - 24;  25 - 17;  27 - 16;  5 - 37;  37 - 5; 
 11 - 38;  25 - 26;  18 - 24;  33 - 17;  31 - 14;  34 - 16;  29 - 13;  27 - 15;  16 - 26;  20 - 28;  17 - 25;  34 - 15;  17 - 33;  38 - 6;  27 - 21;  23 - 22;  14 - 28;  35 - 14;  27 - 23;  27 - 15;  28 - 14;  21 - 25;  25 - 17;  26 - 17;  30 - 12;  14 - 37;  26 - 25;  25 - 17;  29 - 13;  31 - 11; 
 16 - 27;  29 - 13;  23 - 19;  5 - 46;  38 - 10;  27 - 17;  34 - 15;  36 - 12;  41 - 7;  8 - 35;  19 - 30;  17 - 25;  26 - 22;  14 - 34;  17 - 32;  21 - 24;  34 - 15;  20 - 31;  24 - 26;  17 - 31;  7 - 35;  36 - 6;  13 - 29;  28 - 14;  12 - 38;  7 - 37;  25 - 25;  13 - 32;  7 - 40;  20 - 22; 
 38 - 9;  30 - 12;  23 - 23;  16 - 26;  27 - 18;  23 - 28;  7 - 35;  39 - 12;  35 - 11;  41 - 7;  31 - 17;  26 - 25;  29 - 18;  13 - 36;  12 - 34;  3 - 41;  25 - 25;  35 - 7;  29 - 13;  7 - 38;  17 - 25;  28 - 23;  36 - 6;  15 - 27;  23 - 19;  21 - 21;  8 - 34;  35 - 15;  17 - 27;  26 - 17; 
 29 - 16;  25 - 24;  31 - 18;  19 - 25;  28 - 18;  33 - 15;  16 - 27;  17 - 25;  22 - 27;  29 - 18;  16 - 30;  36 - 6;  23 - 19;  15 - 35;  39 - 3;  26 - 18;  37 - 7;  21 - 27;  27 - 19;  14 - 28;  16 - 26;  27 - 15;  12 - 36;  4 - 43;  32 - 16;  21 - 26;  17 - 25;  23 - 26;  35 - 16;  16 - 26; 
 33 - 15;  15 - 27;  25 - 17;  19 - 28;  24 - 19;  13 - 29;  48 - 1;  41 - 5;  4 - 39;  30 - 16;  13 - 37;  25 - 18;  40 - 9;  21 - 25;  25 - 17;  6 - 36;  25 - 24;  34 - 8;  7 - 35;  26 - 19;  17 - 25;  28 - 14;  8 - 34;  13 - 31;  13 - 34;  37 - 12;  16 - 33;  6 - 44;  27 - 20;  26 - 19; 
 24 - 27;  16 - 26;  26 - 16;  15 - 32;  16 - 29;  30 - 12;  15 - 27;  8 - 40;  24 - 18;  25 - 17;  23 - 22;  33 - 14;  21 - 25;  33 - 11;  28 - 17;  29 - 19;  29 - 16;  23 - 19;  25 - 25;  10 - 39;  15 - 28;  10 - 38;  39 - 6;  5 - 44;  8 - 35;  30 - 14;  31 - 18;  14 - 28;  25 - 26;  31 - 11; 
 27 - 15;  28 - 21;  41 - 9;  37 - 5;  25 - 22;  15 - 35;  14 - 30;  39 - 3;  15 - 27;  14 - 29;  9 - 33;  16 - 26;  26 - 23;  17 - 25;  29 - 16;  39 - 11;  7 - 35;  25 - 21;  38 - 4;  25 - 18;  19 - 23;  34 - 17;  2 - 43;  2 - 40;  23 - 21;  10 - 38;  35 - 7;  4 - 38;  12 - 34;  18 - 24; 
 8 - 34;  11 - 33;  24 - 22;  17 - 25;  18 - 24;  6 - 43;  28 - 16;  33 - 9;  15 - 27;  16 - 26;  29 - 13;  8 - 35;  25 - 26;  7 - 37;  25 - 18;  13 - 35;  27 - 15;  37 - 9;  15 - 33;  22 - 20;  23 - 25;  27 - 15;  14 - 37;  14 - 28;  17 - 25;  10 - 38;  21 - 23;  5 - 37;  15 - 36;  21 - 21; 
 38 - 4;  17 - 25;  28 - 14;  14 - 28;  2 - 47;  15 - 27;  3 - 39;  18 - 24;  17 - 25;  7 - 35;  17 - 25;  36 - 6;  21 - 22;  3 - 47;  16 - 26;  24 - 18;  28 - 15;  26 - 24;  36 - 6;  19 - 23;  26 - 24;  29 - 16;  9 - 39;  22 - 21;  3 - 45;  25 - 17;  12 - 37;  15 - 36;  14 - 28;  13 - 29; 
 36 - 6;  28 - 16;  21 - 25;  17 - 30;  15 - 34;  16 - 29;  22 - 20;  18 - 24;  28 - 14;  31 - 13;  27 - 22;  37 - 6;  24 - 18;  13 - 29;  40 - 4;  20 - 30;  20 - 29;  24 - 23;  36 - 15;  18 - 26;  23 - 20;  22 - 26;  23 - 19;  14 - 32;  4 - 45;  9 - 38;  1 - 46;  4 - 42;  32 - 11;  36 - 6; 
 15 - 27;  38 - 4;  35 - 14;  17 - 28;  26 - 16;  26 - 21;  10 - 32;  25 - 25;  24 - 18;  17 - 25;  17 - 28;  26 - 16;  39 - 3;  21 - 26;  17 - 25;  38 - 4;  34 - 15;  15 - 28;  29 - 17;  19 - 25;  14 - 30;  34 - 16;  7 - 36;  23 - 25;  30 - 18;  19 - 23;  16 - 30;  16 - 26;  28 - 19;  23 - 22; 
 25 - 17;  31 - 14;  11 - 40;  27 - 21;  28 - 18;  28 - 18;  34 - 14;  29 - 17;  30 - 12;  27 - 15;  18 - 25;  26 - 24;  19 - 26;  4 - 38;  28 - 14;  10 - 38;  14 - 28;  31 - 12;  17 - 27;  18 - 24;  26 - 16;  24 - 25;  3 - 39;  14 - 37;  14 - 31;  14 - 28;  14 - 29;  12 - 39;  16 - 28;  38 - 4; 
 25 - 17;  28 - 22;  40 - 4;  35 - 7;  35 - 11;  18 - 29;  30 - 16;  34 - 12;  24 - 18;  14 - 28;  33 - 16;  15 - 33;  31 - 20;  15 - 27;  25 - 19;  17 - 25;  18 - 27;  18 - 27;  15 - 33;  19 - 23;  27 - 15;  25 - 19;  10 - 35;  6 - 36;  13 - 33;  16 - 29;  22 - 26;  4 - 40;  25 - 26;  4 - 42; 
 19 - 24;  27 - 15;  36 - 15;  25 - 18;  30 - 12;  26 - 16;  25 - 26;  16 - 35;  27 - 17;  38 - 13;  16 - 26;  23 - 25;  26 - 18;  17 - 25;  15 - 27;  24 - 18;  26 - 23;  16 - 29;  33 - 16;  15 - 27;  15 - 27;  35 - 15;  4 - 38;  24 - 24;  2 - 40;  23 - 26;  17 - 28;  20 - 24;  20 - 23;  20 - 25; 
 7 - 35;  17 - 25;  38 - 7;  29 - 16;  6 - 36;  5 - 39;  43 - 4;  18 - 24;  13 - 35;  43 - 4;  23 - 26;  40 - 5;  39 - 12;  27 - 21;  39 - 3;  16 - 26;  22 - 26;  38 - 8;  43 - 3;  39 - 9;  27 - 17;  35 - 15;  15 - 27;  25 - 25;  17 - 29;  30 - 14;  16 - 35;  39 - 9;  24 - 18;  12 - 36; 
 13 - 34;  20 - 22;  33 - 19;  16 - 26;  13 - 35;  25 - 17;  25 - 17;  17 - 25;  26 - 22;  41 - 10;  30 - 17;  32 - 18;  7 - 37;  29 - 15;  21 - 30;  24 - 18;  19 - 23;  34 - 8;  35 - 8;  30 - 17;  16 - 26;  23 - 28;  35 - 15;  29 - 21;  15 - 28;  16 - 26;  38 - 4;  24 - 18;  20 - 24;  20 - 22; 
