 2 - 46;  1 - 41;  26 - 17;  13 - 29;  1 - 41;  0 - 42;  3 - 39;  12 - 39;  3 - 48;  2 - 40;  10 - 32;  3 - 45;  12 - 36;  13 - 29;  1 - 44;  11 - 39;  0 - 51;  2 - 40;  7 - 38;  1 - 41;  20 - 31;  11 - 31;  6 - 44;  20 - 22;  4 - 38;  16 - 29;  14 - 28;  2 - 49;  12 - 30;  0 - 49; 
 11 - 39;  2 - 40;  0 - 42;  11 - 35;  32 - 11;  25 - 17;  2 - 40;  0 - 42;  0 - 42;  1 - 41;  5 - 42;  2 - 47;  2 - 40;  10 - 38;  11 - 32;  1 - 49;  1 - 43;  3 - 39;  2 - 40;  2 - 40;  21 - 27;  11 - 38;  3 - 47;  12 - 30;  2 - 49;  28 - 14;  0 - 42;  2 - 47;  5 - 41;  2 - 41; 
 6 - 40;  12 - 39;  2 - 43;  13 - 29;  10 - 41;  1 - 42;  3 - 39;  22 - 26;  11 - 33;  11 - 31;  12 - 37;  3 - 44;  4 - 44;  2 - 46;  0 - 49;  21 - 21;  1 - 42;  3 - 46;  0 - 42;  10 - 40;  1 - 50;  3 - 44;  1 - 44;  14 - 36;  1 - 44;  11 - 38;  3 - 39;  3 - 42;  3 - 45;  21 - 21; 
 1 - 41;  10 - 32;  13 - 37;  4 - 45;  4 - 38;  21 - 27;  0 - 42;  1 - 47;  22 - 20;  1 - 41;  1 - 41;  14 - 35;  5 - 37;  1 - 45;  1 - 48;  13 - 33;  5 - 37;  11 - 40;  2 - 42;  0 - 43;  4 - 39;  11 - 38;  0 - 45;  12 - 31;  12 - 30;  4 - 38;  1 - 50;  2 - 49;  1 - 41;  10 - 36; 
 2 - 46;  2 - 45;  0 - 42;  0 - 42;  1 - 49;  2 - 40;  2 - 45;  14 - 28;  10 - 39;  1 - 42;  0 - 42;  4 - 47;  2 - 40;  3 - 42;  2 - 40;  2 - 46;  1 - 41;  4 - 44;  13 - 29;  3 - 39;  22 - 20;  15 - 29;  12 - 38;  3 - 41;  3 - 41;  3 - 42;  3 - 39;  2 - 40;  1 - 45;  22 - 20; 
 12 - 38;  4 - 42;  11 - 33;  12 - 30;  4 - 38;  23 - 19;  21 - 27;  2 - 40;  3 - 39;  11 - 39;  21 - 21;  11 - 32;  23 - 19;  4 - 45;  3 - 39;  3 - 39;  12 - 38;  14 - 35;  25 - 17;  13 - 38;  13 - 29;  2 - 40;  2 - 40;  12 - 37;  4 - 39;  4 - 38;  1 - 48;  4 - 38;  5 - 41;  0 - 49; 
 10 - 33;  0 - 47;  2 - 40;  22 - 27;  21 - 28;  0 - 42;  4 - 39;  1 - 41;  3 - 39;  4 - 38;  3 - 39;  3 - 42;  21 - 29;  12 - 30;  13 - 38;  13 - 29;  1 - 41;  13 - 29;  10 - 37;  1 - 41;  1 - 42;  5 - 41;  2 - 41;  3 - 39;  10 - 37;  1 - 41;  1 - 41;  1 - 49;  2 - 40;  1 - 41; 
 2 - 44;  3 - 39;  2 - 40;  1 - 46;  12 - 39;  2 - 44;  1 - 50;  12 - 38;  1 - 49;  8 - 34;  1 - 41;  2 - 40;  2 - 45;  1 - 44;  11 - 36;  0 - 49;  4 - 38;  13 - 29;  2 - 42;  4 - 38;  23 - 23;  0 - 42;  2 - 48;  11 - 40;  14 - 35;  10 - 32;  3 - 45;  0 - 46;  0 - 43;  20 - 22; 
 1 - 45;  3 - 45;  13 - 31;  2 - 48;  15 - 28;  12 - 33;  3 - 39;  11 - 34;  2 - 40;  3 - 39;  1 - 41;  11 - 40;  21 - 30;  12 - 37;  23 - 19;  0 - 49;  2 - 40;  13 - 30;  0 - 43;  10 - 40;  21 - 29;  0 - 47;  1 - 42;  7 - 39;  1 - 48;  3 - 41;  2 - 40;  2 - 43;  6 - 40;  10 - 35; 
 14 - 30;  2 - 40;  10 - 39;  2 - 40;  21 - 27;  12 - 37;  0 - 42;  0 - 42;  2 - 40;  1 - 50;  3 - 42;  2 - 47;  4 - 38;  24 - 23;  13 - 29;  1 - 41;  0 - 42;  10 - 41;  2 - 40;  13 - 30;  3 - 39;  5 - 39;  12 - 30;  12 - 32;  1 - 49;  0 - 47;  10 - 32;  33 - 18;  13 - 37;  11 - 32; 
