 1 - 44;  1 - 41;  5 - 40;  12 - 30;  4 - 44;  1 - 41;  0 - 42;  0 - 45;  1 - 41;  2 - 48;  12 - 37;  4 - 47;  21 - 21;  2 - 46;  2 - 43;  2 - 46;  3 - 43;  10 - 32;  10 - 32;  0 - 51;  22 - 26;  12 - 30;  1 - 44;  2 - 40;  2 - 42;  1 - 49;  21 - 28;  0 - 49;  2 - 40;  2 - 40; 
 11 - 31;  2 - 48;  11 - 35;  25 - 17;  1 - 47;  1 - 41;  12 - 30;  3 - 39;  21 - 29;  12 - 30;  0 - 44;  3 - 39;  14 - 38;  10 - 39;  2 - 40;  11 - 40;  1 - 41;  16 - 26;  13 - 29;  2 - 41;  2 - 43;  23 - 26;  28 - 18;  5 - 38;  0 - 51;  3 - 39;  11 - 31;  1 - 48;  13 - 29;  10 - 32; 
 3 - 41;  2 - 40;  11 - 31;  23 - 26;  1 - 43;  1 - 44;  3 - 39;  1 - 41;  14 - 28;  20 - 27;  11 - 31;  7 - 37;  10 - 38;  5 - 45;  10 - 34;  11 - 31;  2 - 49;  1 - 41;  11 - 40;  2 - 42;  3 - 41;  4 - 38;  15 - 27;  3 - 39;  3 - 43;  0 - 50;  2 - 43;  2 - 40;  0 - 51;  10 - 33; 
 14 - 31;  22 - 28;  4 - 38;  10 - 41;  0 - 47;  14 - 34;  13 - 29;  1 - 50;  1 - 50;  23 - 27;  3 - 39;  14 - 33;  12 - 30;  0 - 43;  10 - 32;  2 - 43;  13 - 35;  3 - 40;  10 - 38;  32 - 17;  3 - 39;  0 - 42;  15 - 27;  2 - 40;  2 - 40;  2 - 40;  2 - 49;  10 - 32;  3 - 47;  2 - 42; 
 2 - 42;  4 - 43;  4 - 41;  12 - 38;  2 - 43;  12 - 33;  1 - 48;  13 - 34;  1 - 41;  0 - 43;  22 - 29;  10 - 34;  4 - 42;  13 - 31;  0 - 48;  30 - 17;  2 - 40;  1 - 42;  13 - 35;  10 - 32;  12 - 34;  12 - 33;  3 - 39;  2 - 48;  4 - 43;  12 - 39;  2 - 49;  4 - 45;  0 - 47;  1 - 42; 
 17 - 34;  0 - 48;  6 - 43;  0 - 42;  6 - 45;  6 - 36;  2 - 46;  2 - 41;  2 - 47;  2 - 48;  0 - 42;  12 - 32;  1 - 41;  3 - 39;  3 - 41;  1 - 44;  11 - 38;  2 - 40;  21 - 21;  21 - 23;  2 - 40;  11 - 31;  4 - 46;  2 - 40;  22 - 20;  3 - 43;  4 - 38;  2 - 40;  10 - 32;  1 - 50; 
 1 - 50;  3 - 39;  3 - 48;  3 - 47;  23 - 25;  30 - 12;  22 - 20;  14 - 34;  1 - 41;  12 - 30;  11 - 31;  2 - 47;  1 - 41;  0 - 51;  21 - 21;  13 - 36;  2 - 47;  12 - 31;  3 - 39;  2 - 40;  2 - 42;  13 - 29;  1 - 49;  1 - 42;  12 - 35;  0 - 42;  2 - 41;  11 - 31;  20 - 26;  10 - 35; 
 3 - 40;  12 - 30;  12 - 33;  1 - 46;  2 - 40;  14 - 28;  2 - 41;  11 - 37;  13 - 34;  12 - 34;  2 - 42;  3 - 44;  2 - 42;  2 - 45;  5 - 44;  1 - 46;  10 - 36;  12 - 39;  12 - 39;  4 - 39;  4 - 38;  3 - 46;  1 - 49;  4 - 44;  1 - 48;  12 - 36;  0 - 45;  11 - 39;  3 - 39;  1 - 48; 
 20 - 31;  12 - 30;  8 - 34;  0 - 42;  10 - 39;  5 - 46;  20 - 24;  2 - 47;  2 - 48;  4 - 38;  2 - 40;  3 - 47;  2 - 40;  1 - 44;  12 - 30;  5 - 40;  2 - 41;  11 - 32;  10 - 37;  13 - 38;  10 - 36;  2 - 46;  12 - 39;  6 - 36;  13 - 38;  37 - 14;  38 - 10;  2 - 40;  0 - 48;  8 - 42; 
 2 - 45;  20 - 23;  17 - 25;  6 - 36;  6 - 36;  1 - 44;  2 - 40;  24 - 26;  12 - 37;  4 - 38;  11 - 40;  1 - 47;  1 - 45;  12 - 30;  10 - 32;  6 - 42;  1 - 48;  23 - 21;  25 - 22;  3 - 40;  0 - 42;  0 - 45;  1 - 45;  26 - 16;  12 - 36;  11 - 31;  17 - 25;  4 - 38;  10 - 37;  11 - 37; 
 2 - 40;  2 - 40;  38 - 6;  34 - 13;  30 - 18;  6 - 43;  2 - 40;  12 - 36;  18 - 24;  3 - 39;  25 - 25;  47 - 4;  1 - 48;  4 - 39;  33 - 9;  12 - 33;  14 - 35;  24 - 18;  20 - 22;  3 - 48;  24 - 26;  16 - 26;  31 - 19;  3 - 39;  25 - 18;  4 - 38;  3 - 39;  13 - 29;  1 - 41;  35 - 7; 
 35 - 13;  44 - 3;  7 - 35;  1 - 49;  23 - 23;  12 - 39;  27 - 15;  13 - 29;  36 - 6;  3 - 42;  37 - 5;  20 - 22;  24 - 18;  39 - 4;  48 - 1;  14 - 28;  30 - 21;  17 - 25;  6 - 42;  28 - 18;  26 - 16;  25 - 17;  18 - 24;  23 - 19;  36 - 6;  1 - 41;  28 - 18;  16 - 29;  14 - 29;  17 - 26; 
 26 - 16;  27 - 15;  24 - 25;  28 - 14;  16 - 26;  19 - 24;  38 - 4;  39 - 4;  29 - 15;  20 - 26;  37 - 6;  41 - 6;  21 - 22;  30 - 12;  34 - 13;  25 - 17;  26 - 18;  30 - 12;  28 - 14;  29 - 13;  25 - 20;  37 - 5;  38 - 4;  17 - 33;  32 - 16;  6 - 40;  18 - 27;  33 - 17;  25 - 17;  2 - 40; 
 47 - 0;  38 - 13;  18 - 26;  37 - 5;  37 - 7;  38 - 4;  17 - 26;  30 - 13;  39 - 3;  38 - 4;  48 - 3;  28 - 14;  25 - 26;  18 - 26;  29 - 13;  17 - 33;  16 - 27;  10 - 34;  39 - 3;  17 - 25;  28 - 19;  22 - 20;  24 - 20;  37 - 14;  26 - 18;  15 - 30;  39 - 9;  45 - 6;  30 - 12;  33 - 14; 
 46 - 2;  26 - 16;  23 - 22;  33 - 16;  25 - 17;  24 - 24;  29 - 13;  40 - 2;  32 - 16;  22 - 27;  27 - 15;  8 - 35;  19 - 27;  26 - 16;  18 - 24;  27 - 22;  37 - 9;  37 - 13;  37 - 6;  19 - 25;  18 - 24;  31 - 14;  37 - 13;  31 - 16;  27 - 15;  17 - 35;  37 - 5;  22 - 26;  35 - 15;  23 - 19; 
 22 - 25;  30 - 21;  32 - 16;  19 - 27;  19 - 27;  20 - 25;  25 - 26;  16 - 26;  21 - 21;  39 - 9;  24 - 22;  23 - 19;  25 - 17;  28 - 18;  40 - 8;  39 - 5;  18 - 24;  40 - 4;  33 - 14;  26 - 16;  28 - 14;  27 - 15;  29 - 22;  29 - 14;  4 - 38;  36 - 6;  27 - 16;  34 - 14;  22 - 26;  8 - 34; 
 24 - 23;  16 - 27;  30 - 15;  39 - 3;  27 - 15;  27 - 17;  27 - 15;  17 - 25;  22 - 26;  13 - 31;  38 - 4;  40 - 3;  30 - 14;  23 - 19;  16 - 34;  26 - 16;  39 - 3;  23 - 22;  29 - 13;  27 - 15;  26 - 16;  35 - 13;  12 - 30;  16 - 32;  34 - 11;  17 - 28;  40 - 5;  34 - 11;  33 - 12;  25 - 26; 
 42 - 8;  29 - 13;  38 - 13;  28 - 15;  24 - 19;  21 - 29;  28 - 14;  37 - 14;  8 - 37;  36 - 13;  18 - 29;  32 - 19;  24 - 18;  4 - 40;  38 - 4;  14 - 33;  19 - 24;  49 - 2;  26 - 16;  49 - 2;  38 - 4;  46 - 5;  29 - 21;  22 - 24;  31 - 17;  7 - 36;  1 - 41;  25 - 23;  27 - 19;  41 - 8; 
 26 - 16;  27 - 24;  26 - 22;  41 - 7;  37 - 14;  36 - 7;  34 - 12;  32 - 10;  12 - 34;  14 - 37;  41 - 5;  6 - 40;  37 - 11;  17 - 28;  37 - 5;  41 - 8;  27 - 18;  32 - 16;  22 - 23;  19 - 23;  27 - 18;  33 - 15;  21 - 23;  12 - 30;  3 - 44;  34 - 8;  31 - 20;  26 - 19;  12 - 34;  17 - 25; 
 34 - 12;  20 - 22;  37 - 5;  31 - 18;  18 - 24;  15 - 27;  17 - 25;  18 - 25;  13 - 29;  17 - 28;  31 - 18;  36 - 14;  33 - 15;  28 - 15;  22 - 20;  42 - 7;  27 - 24;  16 - 33;  28 - 19;  42 - 7;  29 - 15;  27 - 15;  37 - 8;  16 - 26;  29 - 18;  28 - 23;  35 - 7;  2 - 43;  19 - 24;  28 - 16; 
 15 - 27;  37 - 5;  37 - 5;  28 - 14;  26 - 17;  27 - 19;  39 - 6;  24 - 21;  39 - 6;  25 - 24;  27 - 21;  29 - 22;  17 - 25;  26 - 18;  38 - 12;  34 - 16;  18 - 25;  26 - 16;  26 - 25;  18 - 24;  34 - 14;  32 - 13;  13 - 35;  27 - 16;  34 - 15;  17 - 25;  27 - 15;  15 - 27;  2 - 44;  13 - 29; 
 27 - 16;  34 - 14;  11 - 36;  28 - 14;  45 - 3;  33 - 16;  24 - 27;  23 - 25;  29 - 13;  36 - 13;  36 - 13;  31 - 14;  15 - 27;  7 - 35;  27 - 17;  32 - 10;  25 - 17;  35 - 13;  37 - 12;  9 - 38;  27 - 15;  22 - 25;  12 - 35;  31 - 14;  39 - 3;  38 - 4;  14 - 31;  26 - 16;  19 - 32;  10 - 34; 
 37 - 14;  35 - 14;  21 - 21;  17 - 27;  38 - 6;  17 - 25;  38 - 5;  27 - 24;  25 - 17;  30 - 15;  18 - 26;  43 - 5;  36 - 11;  46 - 2;  26 - 22;  28 - 14;  43 - 6;  39 - 3;  27 - 16;  27 - 20;  36 - 6;  38 - 6;  37 - 14;  3 - 47;  12 - 38;  4 - 38;  19 - 23;  38 - 6;  20 - 24;  31 - 11; 
 22 - 22;  27 - 15;  33 - 9;  20 - 22;  40 - 2;  15 - 34;  32 - 12;  15 - 27;  40 - 2;  19 - 23;  42 - 0;  30 - 13;  27 - 16;  27 - 15;  15 - 27;  31 - 15;  26 - 16;  42 - 3;  34 - 14;  42 - 9;  34 - 12;  29 - 15;  37 - 13;  31 - 14;  35 - 11;  45 - 1;  15 - 27;  30 - 12;  25 - 17;  3 - 39; 
 39 - 3;  17 - 31;  21 - 22;  31 - 15;  26 - 16;  26 - 20;  32 - 13;  15 - 36;  41 - 1;  31 - 14;  27 - 15;  36 - 11;  27 - 15;  28 - 14;  39 - 5;  29 - 15;  37 - 13;  35 - 12;  42 - 4;  22 - 27;  10 - 37;  27 - 15;  27 - 20;  6 - 42;  28 - 17;  4 - 47;  3 - 39;  27 - 15;  29 - 13;  35 - 11; 
 35 - 13;  19 - 23;  35 - 14;  48 - 3;  29 - 14;  29 - 21;  17 - 33;  17 - 25;  35 - 11;  23 - 22;  48 - 1;  39 - 8;  37 - 7;  36 - 6;  44 - 5;  22 - 23;  34 - 16;  16 - 28;  36 - 10;  33 - 14;  33 - 18;  28 - 20;  19 - 23;  13 - 33;  27 - 15;  18 - 24;  2 - 47;  46 - 5;  18 - 25;  23 - 23; 
 23 - 24;  32 - 16;  38 - 4;  19 - 25;  29 - 13;  33 - 9;  11 - 31;  26 - 16;  18 - 24;  51 - 0;  25 - 24;  27 - 19;  29 - 19;  35 - 11;  28 - 14;  28 - 14;  16 - 26;  6 - 36;  15 - 28;  29 - 17;  21 - 23;  27 - 17;  35 - 13;  34 - 8;  7 - 38;  27 - 15;  15 - 27;  24 - 18;  19 - 28;  27 - 23; 
 22 - 29;  28 - 15;  35 - 7;  27 - 24;  45 - 6;  39 - 3;  39 - 6;  15 - 29;  35 - 7;  22 - 25;  17 - 25;  26 - 16;  28 - 14;  38 - 4;  42 - 9;  28 - 14;  20 - 27;  8 - 43;  25 - 17;  35 - 13;  36 - 6;  27 - 15;  27 - 15;  26 - 24;  28 - 14;  21 - 23;  15 - 27;  28 - 16;  19 - 25;  27 - 23; 
 22 - 28;  36 - 14;  28 - 14;  36 - 6;  30 - 16;  40 - 2;  46 - 3;  25 - 17;  36 - 15;  20 - 23;  25 - 18;  17 - 25;  27 - 15;  30 - 13;  40 - 2;  27 - 18;  36 - 15;  28 - 14;  34 - 10;  30 - 20;  26 - 16;  39 - 11;  17 - 27;  34 - 13;  11 - 31;  8 - 34;  22 - 26;  16 - 35;  31 - 13;  30 - 16; 
 30 - 16;  32 - 15;  29 - 15;  31 - 17;  32 - 19;  29 - 14;  24 - 18;  38 - 5;  22 - 22;  38 - 4;  17 - 27;  40 - 2;  8 - 37;  37 - 12;  36 - 11;  22 - 22;  38 - 11;  29 - 17;  27 - 15;  26 - 16;  28 - 15;  38 - 12;  32 - 16;  1 - 43;  21 - 28;  27 - 15;  12 - 37;  26 - 23;  6 - 36;  17 - 25; 
 20 - 26;  46 - 3;  26 - 16;  19 - 25;  32 - 19;  37 - 13;  40 - 8;  3 - 43;  19 - 23;  38 - 4;  29 - 21;  23 - 27;  7 - 35;  26 - 25;  16 - 26;  39 - 3;  27 - 15;  23 - 26;  16 - 28;  28 - 14;  40 - 2;  32 - 10;  16 - 26;  38 - 13;  27 - 21;  30 - 12;  34 - 12;  13 - 37;  16 - 26;  37 - 5; 
